Hugo_Symbol	2989R	2424R	4069R	3784R	3653R	3196R	1351R	4807R	4932R	4316R	1476R	3976R	3036R	4037R	3147R	4769R	4236R	3037R	3504R	4586R
AC004690.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPPKP1	2	6	0	0	6	0	11	0	54	15	0	0	0	1	3	3	0	3	0	9
AC096669.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BX248409.1	1	1	0	0	2	5	5	1	0	3	3	2	0	1	3	0	1	4	0	4
AC098826.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01623	1	0	0	0	0	0	0	0	1	1	0	1	0	0	4	0	0	0	0	2
AL606519.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTOR-AS1	1	0	9	5	10	12	6	7	2	3	4	6	2	4	0	0	0	5	4	0
AC244394.1	0	0	5	2	8	0	5	5	3	86	0	0	5	12	21	2	3	0	3	4
AC092813.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005281.1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
CDY20P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007679.1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
LINC02158	354	359	35	96	70	192	48	306	87	111	130	130	85	20	33	482	136	20	392	23
AC099552.2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LINCMD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF469	46	14	105	361	18	479	595	22	35	18	422	346	521	56	121	14	32	53	57	54
RBMY2UP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL138785.1	31	2	37	9	10	23	18	15	5	7	32	18	2	11	45	1	6	10	5	24
MYT1L-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC104463.1	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0
PPIAP17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGBL4-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBL1YP1	0	7	0	0	0	0	9	46	0	54	0	0	3	0	50	0	0	0	0	0
AC090517.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf135-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND2P28	11572	1961	14471	3895	5233	8471	8756	5601	1797	4758	11545	13927	4925	2936	14050	586	3112	5473	4146	28911
AL161644.1	0	0	0	9	2	2	0	2	1	1	1	0	2	4	0	1	0	0	0	0
HNRNPA3P15	17	22	10	2	32	35	31	29	10	8	50	7	36	2	5	21	5	7	20	9
AP001046.1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PABPC1P12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGAM1P2	5	0	3	0	0	2	4	0	3	1	2	2	0	0	5	1	0	1	1	0
LINC01729	1	12	0	0	0	1	0	1	0	4	0	0	1	1	1	3	2	1	1	0
SNRPEP5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
AL606491.1	0	0	2	3	13	9	7	2	2	2	4	1	7	5	5	0	2	6	2	0
RPL35AP4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC005487.1	1	2	0	3	0	0	0	0	0	0	1	0	2	1	0	0	1	0	0	1
SBDSP1	212	90	1457	1445	467	1476	691	1195	305	363	833	1101	518	1063	1466	108	586	1887	529	149
AC064875.1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
EIF2S2P5	4	0	2	3	0	0	1	0	0	1	1	0	1	2	0	1	0	1	0	0
KCNMA1-AS3	0	19	0	0	1	0	0	0	0	0	0	0	0	0	0	1	5	0	0	1
RNF19BPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BX255923.1	0	0	2	1	0	0	0	0	0	0	3	1	0	0	0	1	0	2	0	0
AL118511.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01716	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAF13P2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Z99497.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RPL14P5	0	0	0	1	2	1	2	1	0	1	0	2	1	0	0	0	1	5	1	0
RPL14P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012519.1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	1	0	1
MCRIP1	897	388	1190	693	1005	678	898	922	992	845	745	1029	478	515	1592	255	820	2078	678	755
YWHAZP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAR1AP3	0	0	0	3	0	1	0	0	1	0	4	1	0	0	0	0	1	5	1	0
RPL23AP27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CADM3-AS1	0	0	1	0	1	1	7	6	1	8	1	0	0	0	4	1	1	4	0	44
FCF1P6	0	1	0	0	0	0	1	1	2	1	0	0	1	0	1	0	0	0	0	0
CCNT2P1	0	0	4	1	0	2	3	1	0	0	0	4	1	0	1	1	0	1	2	0
AC104164.1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
IPO7P2	6	0	9	0	5	2	6	6	1	6	5	4	2	4	1	0	0	2	2	5
LINC01771	0	0	1	0	0	2	1	1	0	0	2	0	1	4	0	0	0	3	1	1
AC002378.1	0	0	0	3	0	1	0	1	0	0	1	3	0	2	0	1	2	2	0	0
AP000619.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL163953.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005730.1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
PACRG-AS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM225B	8	0	4	0	1	2	16	0	1	9	1	7	1	2	0	0	0	3	0	3
TSPY5P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008633.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TREML5P	13	46	5	83	8	143	8	16	12	10	170	20	78	31	5	13	14	23	61	6
LAGE3P1	0	1	1	2	4	0	0	0	1	0	0	1	3	0	2	0	0	1	0	0
HNRNPA1P35	15	54	68	28	49	37	31	53	10	15	37	25	35	26	37	25	15	42	11	19
SLC26A6	3388	1893	3999	206	3867	376	2296	3358	557	4199	1174	1822	149	1435	3250	1193	1940	1003	499	2292
IGHV3-72	18	4	1	3	15	4	1	5	26	1	9	7	2	1	8	1	14	1	5	99
EIF4A1P13	1	0	3	1	1	1	0	1	1	0	0	2	1	3	0	1	3	3	3	0
AC114737.1	3	1	0	2	0	0	0	1	0	0	2	2	1	0	0	1	2	0	0	0
AC004899.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
PTPRD-AS1	3	0	22	0	0	2	0	3	6	1	0	3	0	2	8	1	0	0	2	0
AL354984.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AL355149.1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL512326.3	0	0	3	1	1	2	3	0	0	4	1	1	1	0	0	1	1	3	0	0
ATP5MC2P1	3	0	2	0	0	2	0	1	0	0	1	1	0	0	5	0	0	0	1	0
RPL30P1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
PSMA1P1	7	1	1	5	3	4	8	3	3	5	6	4	3	6	4	2	3	7	3	1
ELOCP13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC092100.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NMNAT1P2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
AL031846.1	266	193	678	42	58	115	31	3	69	380	22	297	12	168	167	109	341	290	62	47
AL592166.1	3	3	10	3	2	0	3	15	0	6	3	6	0	7	8	1	7	10	0	10
RPL24P9	0	0	2	1	1	2	0	0	0	0	2	2	0	0	2	0	0	1	1	1
MTND6P15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASH2LP3	0	0	0	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0
FAM66E	3	0	4	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0
AC007000.2	8	19	3	5	32	4	14	16	3	14	8	1	7	3	1	0	8	1	5	13
AL139184.1	0	0	7	0	0	2	0	3	1	1	0	0	0	1	2	0	0	0	0	0
TMEM230P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRF5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE9A-AS1	0	0	3	2	1	0	1	0	0	2	10	7	4	1	1	0	1	0	0	0
FGD5-AS1	2889	3112	3737	2886	4036	2538	4320	2591	6510	6389	5528	3844	2792	1679	5244	1538	4771	3170	3715	2226
NEK4P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRG3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPM1P18	4	0	1	1	1	4	2	0	1	2	1	7	1	5	3	2	4	11	0	1
ELOCP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC245517.1	10	9	0	0	0	2	1	0	0	14	7	11	0	13	78	6	1	19	3	34
LINC02036	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2
AC017002.1	0	0	0	0	0	2	0	1	0	0	0	3	0	0	0	0	0	1	0	0
MEG8	2	0	1	2	1	2	4	1	0	23	1	4	1	0	11	1	1	1	0	18
AL357500.1	0	1	1	4	1	0	0	2	3	2	0	3	2	1	0	0	5	1	1	1
AC087501.1	0	0	0	0	4	1	1	3	2	2	3	2	7	0	2	1	1	0	3	3
AL023581.1	8	2	0	2	6	1	2	2	7	1	3	0	0	1	0	3	5	0	2	0
AL451063.1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DBH-AS1	3	1	38	13	10	32	10	16	2	4	19	15	44	9	22	1	5	7	7	5
RPS17P17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00431	1	15	1	0	0	1	1	0	0	0	7	5	0	0	0	0	0	1	7	2
AL596247.1	1	3	18	10	18	15	9	11	1	9	11	15	4	29	3	8	5	27	6	15
LINC01389	4	2	5	5	4	3	7	6	4	7	12	2	9	1	1	1	9	5	5	0
P3H2-AS1	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHRS4L1	2	0	0	0	1	0	1	3	0	3	0	0	0	0	1	1	0	2	0	2
FAF1-AS1	2	2	10	2	7	8	7	6	1	13	5	7	1	0	1	0	2	4	0	3
LINC02620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
CROCCP1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1
RPS29P3	5	1	4	2	1	10	6	6	2	7	3	9	3	1	7	0	2	7	2	5
SIRPAP1	110	124	17	33	27	72	24	28	125	20	82	17	74	34	64	122	19	8	56	31
AL137220.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX39AP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROSER2-AS1	2	0	13	1	109	1	3	2	2	143	2	11	2	0	11	3	2	16	3	25
AL122001.1	0	1	0	5	1	3	1	1	0	2	0	2	1	5	0	0	4	3	0	1
OR6V1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIAT	5820	9675	352	1763	471	1378	169	562	1620	269	1204	1149	963	2401	860	2611	6233	461	3822	103
AL109610.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSM3P3	0	3	8	0	11	2	2	0	3	5	3	0	1	2	7	0	5	11	3	4
AC007953.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TRAM2-AS1	104	39	367	28	161	67	215	228	211	152	77	164	11	32	392	55	74	235	76	84
AC004540.2	36	54	29	224	32	1	42	24	14	92	31	14	21	21	21	32	19	9	7	23
TMEM30A-DT	31	30	38	10	60	10	44	50	18	75	49	15	12	11	173	10	17	27	15	32
AC073321.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006463.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND4P23	10	10	18	7	8	2	14	17	4	17	21	19	3	7	5	6	3	9	7	16
UBDP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC025918.1	0	4	6	1	2	3	5	1	2	6	6	3	2	1	2	0	6	4	3	2
RABEPKP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WARS1P1	1	1	7	11	1	12	12	12	1	15	43	23	21	1	10	0	1	4	3	3
MRPS11P1	0	0	2	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
DEFB131B	1	1	11	0	5	0	5	2	1	9	2	0	3	1	4	1	1	0	0	4
AL121917.1	4	5	8	2	13	5	8	9	3	21	3	0	5	1	12	3	5	5	0	12
AC069281.1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	3
DNAJC19P5	32	103	89	380	32	209	63	101	84	66	202	143	193	153	74	101	246	102	166	21
RBMY2KP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL354771.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009299.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GRPEL2P2	0	0	0	0	0	0	1	0	1	0	1	0	2	0	3	0	0	0	0	2
AC092669.1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
GTF3AP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC118653.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC013269.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBXN7-AS1	0	4	3	7	8	9	1	19	3	2	6	1	4	4	0	0	6	7	2	0
RPL7P45	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1
IGHD6-25	2	2	3	3	2	5	0	1	1	1	0	1	0	0	0	1	0	2	1	2
LINC00626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFTPA3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM229A	261	303	397	252	382	353	434	392	424	211	282	501	273	179	544	119	339	363	238	180
ERCC6	490	344	1278	519	624	543	1033	808	737	1532	997	772	468	258	835	209	370	886	326	637
RPS18P1	0	6	1	7	0	4	1	2	3	4	4	0	5	0	1	1	5	1	0	0
AL035090.1	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GS1-594A7.3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AL157400.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRMT2B-AS1	1	0	2	2	3	0	1	0	2	2	1	1	2	0	0	0	0	1	2	0
AC010970.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGCTP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NIPA2P1	0	0	3	0	0	1	1	0	0	1	1	1	0	0	2	0	0	0	0	0
AC112719.1	0	0	2	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
MKRN7P	0	2	3	0	1	0	0	1	1	4	1	0	0	0	0	0	0	0	0	3
AL355490.1	14	20	7	16	4	3	6	4	14	13	2	6	2	16	6	3	48	7	14	2
HLA-S	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
AL451139.1	4	2	3	2	4	1	7	5	0	15	2	8	1	1	3	0	3	6	3	8
RUSC1-AS1	85	50	153	109	182	43	119	119	64	267	141	116	67	128	104	44	87	224	29	86
PCNPP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02816	3	0	3	3	1	0	3	0	0	1	2	1	2	0	0	0	0	0	0	1
MATR3P1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645939.1	2	3	11	3	18	4	5	8	0	10	2	8	0	6	0	0	7	4	2	2
AL022315.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC016582.1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5
AC008696.1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00368	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC245100.2	10	9	11	10	20	4	19	17	3	11	25	4	10	16	15	2	6	17	4	3
LINC01529	177	63	513	13	229	37	143	246	67	337	47	104	21	41	154	30	90	357	17	127
C3orf86	1822	2651	61	79	221	197	174	204	4144	334	330	57	74	194	47	2517	1844	92	1843	534
AC024067.1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0
PSG8-AS1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SERBP1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL513210.1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	47	76	119	234	130	84	40	236	120	39	101	136	83	170	54	56	237	128	107	50
AC009365.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMS1P11	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	4	0	0
AC098872.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AC023590.1	0	1	6	4	2	10	13	0	0	6	3	9	3	4	15	0	9	17	6	1
AL445490.1	1	3	3	131	10	25	6	5	2	9	98	4	14	7	166	0	11	9	2	0
AC012368.1	2093	1801	3207	3385	2065	3811	1103	8355	108	976	10482	9133	3801	1624	3527	2107	2185	806	1923	1862
DHDDS-AS1	45	46	24	7	130	11	34	53	16	97	18	16	10	47	56	22	31	74	7	46
AL136231.1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0
TRAPPC2P8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELOCP36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FRG2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPE1P13	2	2	0	4	2	6	7	10	2	5	15	5	9	5	0	0	0	16	3	4
MTND2P9	767	105	776	58	289	388	469	380	514	67	551	854	331	41	548	202	56	88	207	100
AL035404.2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MORF4L1P7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391244.1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0
AP000949.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS27P16	0	0	1	0	0	0	0	2	1	4	1	0	1	0	0	1	0	0	1	1
AC009310.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RPL26P36	22	3	52	3	10	16	17	17	8	18	16	15	5	11	28	2	4	40	9	9
AL138767.3	0	0	0	1	0	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0
TSBP1-AS1	0	3	6	5	1	19	6	1	14	1	5	1	4	5	3	1	1	1	10	1
AC007879.2	3	1	0	1	3	0	2	1	3	0	6	0	1	0	0	1	2	1	2	3
RPL7P59	2	1	16	3	2	6	7	9	3	12	4	11	2	3	18	4	4	19	3	9
LINC01745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RIMKLBP2	28	68	42	18	163	26	91	78	40	26	79	27	35	20	32	6	14	26	15	45
NOL7	1714	777	2169	772	1218	1207	1369	951	661	1610	892	2380	447	763	1603	552	1120	2111	933	1287
RPL21P92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AC092393.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAB2-AS1	0	0	0	0	1	3	1	1	1	2	0	4	2	0	1	0	0	0	0	2
AL672138.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CACYBPP1	0	1	0	3	4	10	2	3	1	2	9	0	9	3	1	0	2	4	1	2
AC000036.1	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LINC02249	1	0	5	1	2	0	1	5	1	13	0	7	0	0	8	0	0	0	1	2
AL139246.2	8	44	32	328	39	71	18	62	14	46	46	44	36	51	11	13	38	10	43	12
CTAGE4	13	0	9	37	37	1	5	0	3	27	4	5	1	2	4	6	2	4	1	4
RPS14P5	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0
FAM133FP	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
BANF1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL731557.1	7	7	6	8	2	41	0	7	46	20	43	14	14	16	3	1	18	9	32	12
PCA3	2	0	0	0	1	3	3	4	1	1	0	0	0	1	4	1	0	0	0	1
AL109741.1	4	6	1	9	1	27	2	1	11	3	17	2	12	8	3	4	3	1	1	0
C5orf67	59	62	4	2	3	15	10	4	132	2	2	4	1	5	0	17	24	5	72	2
LINC01875	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AC016907.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RIOK3P1	0	0	1	1	0	1	1	2	0	1	2	0	0	0	1	0	1	5	0	0
AL121574.1	3	5	4	2	8	3	0	3	6	5	1	1	2	4	0	0	6	3	4	1
AL596448.1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LINC02648	0	9	13	0	10	30	10	12	9	4	5	1	0	11	1	2	5	1	8	2
Z77249.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ODF2-AS1	3	0	4	0	4	2	14	7	1	11	7	0	1	0	5	3	3	3	2	2
AL512444.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SATB2-AS1	34	7	7	0	5	3	18	3	339	21	0	13	0	15	9	20	6	3	7	11
AL050320.1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
AC231532.1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND4P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL441989.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009950.1	80	236	74	141	77	155	68	115	101	98	266	156	179	37	75	125	84	57	73	64
NRIR	4	2	9	7	11	32	63	5	2	2	27	30	12	15	72	2	5	3	3	5
AL117339.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELFN1	5	0	13	13	1	30	1	2	0	4	7	5	49	1	6	4	6	5	3	3
ABHD11-AS1	40	76	2	16	9	8	0	22	14	31	4	3	5	12	14	16	41	45	20	1
AL500522.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS3AP51	5	0	8	3	5	2	2	1	0	4	2	1	0	3	8	0	1	6	1	1
MTND1P23	756	122	32223	194	341	22997	407	352	546	210	631	1014	261	147	792	176	261	326	254	1735
PIGBOS1	185	135	80	104	82	49	67	73	262	310	60	90	29	109	112	99	192	184	70	113
AC005550.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01534	22	16	134	17	26	26	46	45	13	70	25	23	28	16	107	6	6	21	11	47
CKS1BP2	3	0	2	0	1	1	0	1	1	2	0	0	0	1	2	0	0	2	0	1
HAR1A	7	5	13	17	3	36	3	4	3	0	10	5	7	4	11	0	10	9	16	1
AC010746.2	2	3	18	3	5	2	1	7	5	4	2	11	1	5	4	9	20	6	1	1
OR7E19P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC102953.1	4	2	8	3	9	2	7	9	8	7	3	5	3	5	8	0	3	6	1	6
AL355482.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HMGB1P26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LAMP5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNRPEP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL23AP34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRGVA	1	0	4	0	0	2	2	1	3	1	1	0	1	0	0	0	0	0	0	0
OR4A8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFA12P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTF2IP14	50	8	34	15	31	9	37	52	27	19	19	34	6	11	23	23	8	17	11	12
PPIAP37	0	0	1	1	1	1	3	0	3	1	5	1	1	1	0	0	2	2	0	0
LINC02528	0	1	0	0	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	1
LINC02660	1	2	1	2	1	7	0	1	3	2	2	0	0	4	0	1	5	3	0	3
BX005266.2	2	0	1	0	0	0	1	0	1	6	0	0	0	0	1	1	0	1	0	1
SEPTIN14P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNIP2-AS1	0	1	7	2	28	7	5	4	1	11	4	2	1	1	1	0	2	3	0	1
AL355852.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OFD1P1Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP001434.1	111	280	1	14	32	95	2	57	91	33	27	6	23	17	15	138	44	0	75	7
MRPS18BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358176.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CCT8P1	37	19	114	7	68	29	133	66	70	109	32	70	8	22	57	20	25	75	21	57
RPL36AP55	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
