Hugo_Symbol	2989R	2424R	4069R	3784R	3653R	3196R	1351R	4807R	4932R	4316R	1476R	3976R	3036R	4037R	3147R	4769R	4236R	3037R	3504R	4586R
APOOL	170	70	412	116	245	153	348	117	158	735	155	383	77	140	336	73	70	369	42	221
DKK2	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
CYP2U1	61	14	72	94	81	83	119	22	30	113	27	34	34	17	68	14	17	36	17	52
RSPH10B	6	12	12	7	11	6	7	8	14	7	19	4	7	4	2	0	22	10	6	2
FBXL18	106	180	328	551	237	424	269	277	227	309	834	552	329	526	153	101	503	421	532	151
CNTNAP5	0	0	6	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
PROM2	23	187	8	0	5	1	11	1	106	9	2	1	3	6	2	232	40	1	9	6
UNC93B2	1	0	5	1	1	2	7	0	3	0	4	2	1	1	2	0	3	3	4	0
AK9	382	236	331	27	192	72	251	301	575	363	111	57	28	50	165	158	199	114	155	217
ODF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF10	1210	1876	56247	27685	18407	41584	26876	8013	47161	1442	29071	35278	21569	12079	14639	2930	26756	47680	29623	568
PTPRN2	3722	3299	404	28	2542	1016	1620	380	704	3237	4828	893	522	215	1252	621	425	59	160	2778
AZIN1	6185	3876	11358	89687	6417	7272	8649	4692	5359	13427	16167	12368	11037	12702	14381	2434	7925	25015	6234	8864
ATP6V1C1	3359	2472	1021	3646	1518	348	1236	807	6080	2588	1738	420	1526	512	1255	1563	2290	672	1624	1374
PIP4P2	4540	3519	2406	177	3579	590	2485	2451	3496	4045	1583	806	299	975	3635	2433	1912	4877	1667	3019
OTUD6B	138	66	240	57	111	87	198	107	110	362	122	184	56	165	135	58	127	293	78	159
CDK19	1633	2207	3248	434	3654	2373	2788	2935	2822	4118	1567	1441	1024	755	1214	1246	2372	956	2062	1846
GTF3C6	471	70	458	312	236	294	467	166	332	524	232	291	194	180	653	116	342	686	233	354
TTC39B	99	68	252	198	156	463	365	258	227	166	547	206	309	202	249	70	193	80	176	68
AGPAT5	294	31	200	1179	116	182	257	67	129	611	237	71	82	109	388	62	78	87	37	597
MMS19	1278	627	1773	308	1638	675	2361	1153	1648	2247	751	686	470	474	1072	392	757	1074	453	1356
OR4K1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PI4K2A	195	37	2344	3192	547	4376	586	894	282	112	2396	5785	2371	1521	601	45	1620	2119	3384	166
MARVELD1	270	48	2078	20	545	665	1955	237	157	612	80	623	76	38	492	111	221	666	204	794
ZFYVE27	931	1074	1693	1629	943	1573	1171	1046	1584	1479	3650	1759	1171	1659	1369	590	1830	2286	1132	793
GOLGA7B	18	11	28	6	59	65	20	57	28	24	14	23	66	27	10	14	12	8	26	8
GPR78	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
TRMT44	142	50	242	542	184	165	298	129	121	292	82	164	62	135	100	46	122	182	68	256
SLC25A28	1586	1168	3958	1953	1432	3963	1877	2371	1708	1844	2351	3945	1108	1442	3626	919	3451	3015	2399	892
HSPA13	669	408	2242	5103	1180	2822	909	710	877	1382	2624	2306	1383	1371	2179	371	1505	1874	2315	604
SAMSN1	4822	10557	7668	13109	2067	22068	3966	1062	6587	2661	13513	16309	4370	6883	7630	4440	15243	19822	12625	2512
USP25	1835	3011	1950	1725	2154	3355	2892	2091	4495	3071	4202	3235	2477	1837	3150	1266	2135	2373	2370	1697
GRAMD2B	18	3	35	90	8	49	52	14	12	22	17	57	15	67	38	6	9	54	20	12
