Hugo_Symbol	Entrez_Gene_Id	GTEX-T6MO-1526-SM-4DM57	GTEX-11P81-1626-SM-5BC52	GTEX-13N11-1126-SM-5KM41	GTEX-RTLS-2426-SM-46MUO	GTEX-ZP4G-0726-SM-4WWF2	GTEX-WEY5-0726-SM-4LMID	GTEX-T2IS-2226-SM-4DM65	GTEX-PX3G-2026-SM-48U1H	GTEX-U3ZN-0726-SM-4DXT5	GTEX-XUW1-0226-SM-4BOOS	GTEX-PWOO-1526-SM-48TCK	GTEX-Y3IK-2126-SM-4YCDS	GTEX-RU72-2626-SM-4TT75	GTEX-W5WG-1326-SM-4LMI9	GTEX-11GSP-2426-SM-5N9BD
TTC13	79573	481	715	613	708	714	476	478	639	350	465	459	645	724	559	857
TREML2	79865	7	1	6	1	5	3	0	2	0	1	11	9	0	0	1
SLC17A2	10246	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LRRC36	55282	4	28	33	3	16	7	30	10	18	13	0	25	52	14	4
RP11-826N14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C22orf15	150248	10	24	13	24	17	17	19	5	19	4	6	25	28	7	7
GID8	54994	862	765	969	784	1178	872	625	1321	792	669	769	1115	1264	658	877
ZNF33A	7581	1278.62	2117.3	1384.53	1987.24	1901.42	1206.21	995.64	3131.71	1586.6	1300.66	879.67	2249.26	2507.04	1305	1583.08
ADTRP	84830	4	5	10	4	4	4	1	1	0	0	3	1	3	3	7
ZNF616	90317	299	336	341	514	469	296	274	398	299	196	329	403	629	270	378
SH3GLB1	51100	3720	3600	3344	1638	6323	4151	2385	3828.08	2670	2259	3913	2998	3070	2381	2798
LRRCC1	85444	528	613	639	569	844	509	366	589	441	341	394	744	578	572	476
TMEM233	387890	5	12	8	7	11	6	19	50	12	2	11	5	8	0	24
C11orf68	83638	1806	1566	1619	1694	2997	1815	1775	2838	1861	1552	1329	2339	3599	1544	1875
TSHR	7253	7	11	10	22	44	14	44	15	9	18	15	40	14	36	14
BLOC1S5	63915	359	423.94	296	315	506.66	292.18	301	464.37	361.69	217.42	346	361.59	516	266	390.3
KLRC4	8302	7.31	4.59	6.15	8.1	5.66	1.52	0	0	4.95	0	4	5.3	5.51	6	15.4
WNK3	65267	141	140	120	120	303	170	109	138	92	135	136	155	158	166	135
C2orf54	79919	1	0	2	8	5	2	1	3	5	1	5	0	6	1	3
NKX2-6	137814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNN4	3783	93	60	109	57	65	56	72	92	64	70	107	72	153	72	72
COL27A1	85301	1429	4608	3315	5479	6439	2080	16311	2425	2911	5678	6616	13549	9768	7190	6969
FAM101A	144347	18	17	29.03	43.11	60	33	43	60.16	25.06	60	22	29	588	51	42.06
GPM6A	2823	219	106	143	219	207	291	95	484	110	248	490	335	165	327	1213
PCDHA8	56140	7.63	3	20.57	2	12.64	23.77	0	5.57	11.31	18.77	5.44	2.75	6.29	8.14	0
PRKCB	5579	164	155	115	42	439	212	76	368	470	222	512	399	166	93	124
USP7	7874	3883	4457	3846	3814	6351	4316	3081	5947	3266	3515	3782	4814	4994	3564	4474
ACCSL	390110	0	2	0	0	1	1	2	1	0	1	1	6	0	1	0
JAK2	3717	1917	968	595	1101	1769	1164	486	1068	488	686	745	1049	783	1348	1757
GOLGA3	2802	2453	3806	2798	2743.01	5724	2606	2416	2827	2080	3158	3346	3231	4385	2502	3983
PITPNM3	83394	334.93	169	241.77	261	600	507	224.85	478.07	206.59	556	191	533.19	485	505.46	490.53
ITM2A	9452	1844	987	1501	1552	3011	1814	862	1084	722	1238	1370	1901	1224	1974	2389
F2R	2149	963	1190	936	177	579	519	777	1479	954	247	504	638	673	387	1222
ETHE1	23474	481.33	296	716	452.21	701	453	435	683	336	385	728	702	524	406	563
AL353354.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D31	93594	103	128	120	154	200	108	88.54	170	86	93.37	134	168	142	131	119.55
C9orf141	101928638	0	0	1	0	3	1	0	0	0	0	0	0	0	1	0
BEND4	389206	4	1	5	8	1	4	5	15	4	6	6	10	33	40	22
SLC38A4	55089	80	46	48	84	216	89	100	958	257	31	20	287	34	79	141
NBPF12	0	755.75	966.98	749.21	1106.56	1068.04	708.5	446.89	2037.33	568.4	542.39	567.03	1139.54	943.97	759.24	1028.35
C5orf28	64417	331	376	259	206	542	324	220	333	163	211	256	252	421	323	308
TLR9	54106	120.36	81.94	42.18	86.12	56.87	80.76	44.36	89.65	0	68.69	67.43	128	151.61	36.8	202.89
LRRC61	65999	212	150	274	493	449	212	201	390	326	322	232	331	580	242	209
MT-ND4	4538	250344.98	342499.92	408000.81	207664.38	411861.92	364901.97	48528.97	335288.74	195669.72	383414.96	313004.01	690344.65	219030.64	412919.98	159466.21
TBC1D9	23158	646	529	751	510	1053	540	438	931	518	459	839	767	637	433	988
DGKQ	1609	620	808	956	848	1162	696	822	1211	702	798	938	869	1106	710	1022
RP11-521M14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL118506.1	0	7	14	14	6	9	3	3	7	2	7	6	5	4	7	0
CKS1B	1163	0	0	1.21	0.51	3.09	0	2.22	0	0	0	0	0	0	1.05	0
