Hugo_Symbol	Entrez_Gene_Id	GTEX-T6MO-1526-SM-4DM57	GTEX-11P81-1626-SM-5BC52	GTEX-13N11-1126-SM-5KM41	GTEX-RTLS-2426-SM-46MUO	GTEX-ZP4G-0726-SM-4WWF2	GTEX-WEY5-0726-SM-4LMID	GTEX-T2IS-2226-SM-4DM65	GTEX-PX3G-2026-SM-48U1H	GTEX-U3ZN-0726-SM-4DXT5	GTEX-XUW1-0226-SM-4BOOS	GTEX-PWOO-1526-SM-48TCK	GTEX-Y3IK-2126-SM-4YCDS	GTEX-RU72-2626-SM-4TT75	GTEX-W5WG-1326-SM-4LMI9	GTEX-11GSP-2426-SM-5N9BD
MED12	9968	2231	2750	3075	3955	4083	2478	2358	3660	2275	2901	2329	3768	4748	2758	4012
GK	2710	138	146.85	201.99	251.99	222.81	174.65	79.66	293.79	146	192	188.98	245.84	230.96	184	311.81
DLG3	1741	998	832	868	1116	1340	1383	871	1358	777	893	895	1296	1402.96	979	1350
LSM1	27257	550	693	958.11	296.99	1125.92	669	687	793.66	575	456.86	791	620.45	801	563	459
ZNF182	7569	429	564.8	375	560.93	483.76	268	292.83	594.84	333.7	251	319.85	504.91	770.9	383.9	526
FKBP3	2287	939.43	918.33	1076.65	938.44	1348.25	831.13	930.04	875.16	656.59	817.33	1125.86	1179.34	1353.05	1098.22	1279.3
ENPP1	5167	3668	5957	5134	1510	4829	4036	1590	4543	9485	1838	1451	1400	2788	2197	807
SMAP1	60682	1052.34	1083.63	1003.21	535.26	1486.87	933.53	910.79	1750.94	985.17	552.55	836.34	934.17	793.17	629.37	799.95
ZNF596	169270	176.93	308.41	185.27	403.05	298.22	239.59	209.9	377.77	180.43	213.56	137.43	390.21	435.49	334.28	205.53
RGS6	9628	162	69	50	122	69	57	73	58	34	18	88	131	36	93	242.25
LPPR4	0	66	123	126	21	62	56	61	141	24	4	141	48	13	20	199
LRCH3	84859	1580	2241	1690	2386	2801	1782	1181	2318	1592	1376	1934	2220	2818	1531	2494
MFSD8	256471	695	714.11	531	951	731.05	605.07	457.2	885.13	452.09	605.22	452	863.04	1204	732	977
KCNH4	23415	17	15	13	25	35	39	5	14	6	27	12	9	5	12	3
IRF9	10379	1447.87	1802.92	2808.42	1211.09	2148.02	1233.14	1175.42	2734.26	1795.67	1042.32	2220.14	2605.56	2481.65	1234.21	1989.9
STPG1	90529	194	297	360	365	453.02	262	239	256	238	246	136	462	353	299	315
RHOT2	89941	2791	2954	3765	6158	4574	3125	3337	5388	2677	3660	3114	4628	6742	4040	5510
CTB-102L5.4	0	6.64	0	0	1.47	0	2.45	0	0	7.67	3.16	3.77	1.57	1.43	1.59	0
HDAC3	8841	1213.83	1270.31	1613	1855	2071	1493.49	1467.76	2237	1186.95	1488	1455.71	2144.12	2325.88	1494	1947.3
HIST1H2BC	8339	2	4	2	35	21	6	2	5	8	1	18	7	56	5	42
GLP1R	2740	0	4	0	0	1	0	2	1	0	0	4	0	0	0	1
PCP4	5121	754	1431	1391	309	799	758	104	756	589	316	5589	508	382	268	591
CTDNEP1	23399	2810	2603	2701.93	2787.97	4216.94	2726	2735	4111	2787	2712	3288	4309	4798	2670.97	3499
SLC12A7	10723	1522	1949	1777	1453	2347	1577	1338	2911	1492	1217	2359	1683	2280	1152	2490
KLHL36	79786	2104	1991	1902	1936	2695	2027	1312	2599	1674	1434	1527	2228	3050	1168	2151
ABCD1	215	2159	973	1325	717	6436	2771	940	2258	1391	1277	1335	1737	919	1480	806
PHYHIP	9796	1285	401	763	1534	1017	1866	1118	1113	571	394	1677	1004	1177	560	567
TCOF1	6949	1571	1972	1764	1943	2695	1594	1867	2575	1521	1905	1900	2223	2643	2116	2053
C3orf84	646498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF614	80110	400	439	257	271	627	423	302	544	341	299	340	352	506	312	290
FOXO4	4303	1230	1314	1482	1108	1704	892	590	2227	1506	744	1106	1176	2091	575	1007
CXXC1	30827	1768	2136	2453	3694	2970	1950	1912	3154	1741	2537	2090	2897	4667	2399	3331
CTXN2	399697	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
CXXC5	51523	1283	197	609	213	538	733	709	2831	498	268	914	794	699	515	722
GAB4	128954	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SIGLEC8	27181	3	18	16	9	22	18	64	146	33	22	12	35	101	4	33
TTBK2	146057	1361.04	2024.84	1104	1782	1767.14	1214.87	944.66	1562.26	1079	1069	1195.73	1750.51	2013	1246.72	2206.56
SUSD3	203328	508	134	428	322	1020	702	906	491	266	954	364	1249	804.99	938	322
MFNG	4242	408	343	840	194	625	330	293	697	360	461	1117	739	516	440	293
TLR6	10333	32.17	50.85	134.91	30.84	105.89	50.46	46.37	102.27	57.4	23.45	111.89	86.95	65	18.24	33.14
CR1L	1379	0	2	1	1	3	1	0	3	0	1	4	1	1	0	2
TMEM184B	25829	2309	2739	3152	1599	4206	2631	2982	3181	2110	1902	2407	2378	3086	1782	3383.66
DAZ4	1617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMS19	64210	1891	2444	2494	3259	3391	2058	2190	2879	1729	2457	2246	3517	3685	2725	3300
ETNK2	55224	884	309	489	692	745.61	712	440.56	929.75	444.45	676.21	752.47	783.84	1034.73	746.56	872
FUT1	2523	70	30	123	8	117	84	42	167	100	59	114	252	69	104	36
EXOC1	55763	1204	1903	1469	1809.8	2008	1286	1021	1836	1097	962	1204	1920	2060	1118	1909
TGIF2LY	90655	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SERPINB6	5269	3147	2888	3581	3775	4538	2819	2519	4399	2668	2536	2991	4180	5379	3433	5041
FAM114A1	92689	2055	2801	2632	1291	5148	2483	1779	1916	1495	1101	2327	1945	2232	1126	1591
SLC25A44	9673	790	641	1051	380	1492	1195	798	1474	784	741	893	870	862	582	739
SPEG	10290	17221.27	10531.26	12719.97	15065.77	24708.87	15782.04	13047.92	13208.49	8535.44	17215.09	10520.39	23762.28	9994.12	18522.61	19063.36
APOO	79135	102	130	124	97	194	98	203	196	137	153	173	207	215	181	125
PHF2	5253	3102	3216	2853	3964	4621	3345	2513	4584	2667	3160	2494	3749	5516	3532	4548
FAM47E	100129583	93.98	493.39	530.75	8.96	222.02	308.41	116.7	117.32	147.46	63.77	354.06	103.49	101.46	35.01	138.67
IL18BP	10068	441.01	748.59	1084.05	797.74	705.7	432.74	444.07	812.36	382.73	660.47	968.44	1223.18	1083.81	599.89	958.87
CLDN11	5010	566	984	661	415	289	226	35	1645	1158	74	3768	277	1203	106	493
RD3L	647286	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
OR8H2	390151	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0
GALNT16	57452	489.94	472	452	608	606	522.99	1051	1183	560	328	349	861.99	620	339	1673.99
TMEM25	84866	935	545	927	1031	1133	1045	770	927	708	811	731	1443	1064	972	1011
KLHL41	10324	17.8	106.94	37	56.09	51.05	94.17	45.75	46.92	42.47	40.99	42.92	88.26	150.16	170.86	36
KCNG3	170850	1	1	2	0	1	2	10	4	1	3	1	1	5	1	0
BRINP2	57795	9	1	7	1	7	7	7	4	3	1	12	10	22	9	1
AC005008.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASQ1	844	9	40	44	6	66	54	89	37	19	19	15	30	58	22	5
CRB1	23418	5	3	1	13	11	3	4	3	3	3	4	2	5	7	9
AC074389.6	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1
MTMR9	66036	618.91	1043.27	701.64	625.02	1351.68	743.88	561.93	988.75	633.8	515.79	773.88	745.53	840	556.92	628.82
TMEM243	79161	575.54	471.23	491.14	693.7	696.2	304.84	413.34	569.08	325	321.54	579.07	756.35	1103.48	454.6	819.35
TECRL	253017	0	2	1	1	10	0	0	0	0	1	0	4	2	0	1
PRR5	55615	179	262.47	348.9	217	230.82	184.2	461	535	262	285	316.83	308	1240	329	588
TMEM200C	645369	6	31	41	20	19	5	19	120	119	18.59	6	23	277	17.51	35
RCE1	9986	337.68	494.22	519.69	740.97	611.29	410.47	603.18	754.99	428.17	492.45	583.4	662.74	1236.9	560.64	1038.11
CADPS	8618	5	39	14	3	10	36	49	59	14	6	46	21	21	5	8
MORN2	729967	113	190.02	204.6	146.67	290.11	164.85	221.48	205.2	221.47	118.51	167.83	210.53	226.87	161.44	110.42
SMIM11	54065	449	630	447	626	749	481	465	620	438	497	456	659	932	545	731
AC104667.3	0	1	3	6	2	2	1	0	0	0	2	1	2	4	1	2
CEACAM5	1048	3	7	2	3	16	1	6	16	11	1	12	8	5	1	4
NOS1	4842	22	0	5	5	8	7	13	11	0	17	17	12	28	30	26
ANO3	63982	56	2	17	50	26	40	13	33	3	5	14	59	16	9	97
XRRA1	143570	891.83	544.72	494.89	1358.64	949.96	546.57	485.58	726.28	752.48	330.18	428.6	1101.77	1629.83	789.53	1381.68
ARL4A	10124	676.97	1107.67	1417.95	604.97	807.82	466.99	346.79	557.93	286.95	440.98	694.98	329.98	850.65	760	894.59
AC012493.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNIH4	29097	965	854	1101	518	1515	919	779	1120	779	628	1386	947	1209	830	702
OLFML2B	25903	840	760	859	115	646	563	912	2012	731	316	1590	563	358	585	1295
SIX1	6495	0	3	0	8	1	11	0	1	0	1	50	1	1	2	1
EFHC1	114327	906	1757	945	1885	1429	778	750	1391	1074	1116	849	1564	2348	1037	1615
RHBDF1	64285	3394	1640	2243	2603	4045	2676	2119	2763	1482	2124	2221	2145	2839	2377	6389
TMEM97	27346	173.38	219.01	113.44	312.85	186.67	247.18	230.76	351.04	280.85	325.45	162.97	338.56	505.37	367.23	209.93
DST	667	16491	67054	28539.99	19766.97	27380	23042	19207	33298	27257	14414	12525	19691	24661.46	11701	21817
OR9G4	283189	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DHODH	1723	190	306	357	382	422	256	276	331	170	339	323	378	402	346	256
SREBF1	6720	1855.89	2441.05	1499.68	4283	6983.18	6177.99	1786.41	3986.2	2288.89	3856.26	2845.08	2690.76	5611.03	3601.62	5647.96
SAT2	112483	1690	1195	1501	3129	2312	1741	1462	3029	1656	1526	1358.72	2303	3510.05	1640	3659
POLR2A	5430	6225	6396	6698	6390	14511	9629	9307	13364	6619	9646	6266	12812	7503	6662	6635
MFHAS1	9258	824	620	644	339	994	737	605	899	569	429	1576	899	731	535	663
N4BP2	55728	297	695	246	565	708	323	390	526	366	374	407	507	601	375	592
DCAF10	79269	1164	1511	1259	1035	2075	1416	917	1646	1142	906	1214	1247	1349	969	995
WDR65	149465	4	4.03	15.04	13.07	21.35	9.11	5.06	33.21	13.11	15.07	4	11.08	38.42	5	9
OR1A2	26189	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MRPL2	51069	526.83	544.59	702	563	1064.93	607.94	585	991	480	518.68	553.49	767.69	825.72	595	720
CCNB3	85417	4	6	20	4	16	11	2	13	6	2	3	9	9	3	1
ZC3H7B	23264	4240	4514	4454	3322	7210	4942	4208	7270	4226	4549	3674	6072	5162.51	3636	4156
RPS6KC1	26750	921	1227	825	628	1499	907	733	1312	839	574	898	1026	909	733	852
AUP1	550	2772.89	3426.77	4123.43	4736.55	4270.32	2896.22	3264.17	4220.55	2650.02	3528.53	3980.95	4411.16	7708.75	3965.46	5994.09
THAP1	55145	259	392	220	141	498	236	239	287	217	183	296	303	403	262	174
KRTAP4-4	84616	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PAGE4	9506	75	247	21	9	304	176	250	68	27	26	11	36	75	67	10
DCDC1	341019	9	7	22	94	9	12	12	20	11	29	5	42	71	25	33
HIST2H2BF	440689	11.83	40.11	8.63	541.69	27.54	8.89	20.47	20.83	11.97	18.83	18.33	43.99	533.02	24.06	510.38
SYCP2	10388	99	78	107	162	72	89	62	90	35	107	127	135	147	111	268
POPDC3	64208	25	21	17	17	21	16	23	23	26	27	12	42	80	19	10
TRIM69	140691	789	910	900	488	1065	598	572	825	736	445	758	625	929	520	748
CABP5	56344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COQ3	51805	110	98	159	168	251	143	130	142	104	101	167	185	207	175	151
RBM43	375287	607	297	243	689	556	417	210	497	381	279	269	646	444	425	252
BBS5	129880	370.7	577.9	535	919.36	614.55	523.18	635.5	729.01	497.11	641.89	460.64	702.35	1129.46	483.71	627.3
PTPN4	5775	689	640	424	852	914	550	416	725	497	517	361	801	770	616	788
PAX1	5075	0	0	0	5	0	2	0	1	0	1	2	0	0	0	7
USP28	57646	728	933	876	954	1118	611	676	1013	718	728	758	1185	1371	784	1162
LMOD3	56203	6	7	6	2	9	6	4	2	5	5	14	5	7	6	4
DLGAP3	58512	15	15	59	30	68	27	13	22	12	9	38	37	12	17	11
OR5T1	390155	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C9orf153	389766	0	3	1	0	4	0	3	1	0	4	4	1	0	0	1
DKFZP779L1853	0	47	72	52	215	42	10	22	31	43	43	23	96	121	96	44
ZNF283	284349	92	188	112	203	158	67	75	110	93	80	87	141	158	113	156
ZFAND4	93550	193	303	276	302	302	211	200	325	184	166	181	286	376	216	197
STK31	56164	10	16	19	19	15	18	1	16	8	10	6	18	13	23	15
CTNS	1497	456	576	669	481	960	550	536	1031	621	484	639	701	980	513	676
TRAPPC8	22878	1301.65	1564.62	1320.8	1157.42	2166.26	1540.19	908.19	1719.49	1263.77	1109.18	1340.62	1767.14	1623.52	1255.79	1245.97
SMC4	10051	731.86	848.9	681.89	654.85	1279.98	1074.17	466	815.73	542.49	523.44	588.53	898.11	838.44	567.79	953.02
FURIN	5045	3076	2285	3964	2276	4408	2369	1879	3885	2582	2386	4010	2682	4690	1934	3091
HMGCL	3155	701	653	951	765	1145	773	670	1110	707	433	710	1028	1004	617	800
RP11-595B24.2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NKX1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFAF1	51103	321	329	392	267	481	351	261	486	322	204	323	352	328	303	174
USE1	55850	365	431	532	385	694	348	343	702	364	447	388	618	703	420	489
DAPK1	1612	1082	1361	1696	577	1525	1067	1041	2272	1108	1155	764	1232	1784	1509	1728
TBC1D8B	54885	338	347	337	269	806	284	225	258	241	197	423	413	401	218	350
PLSCR4	57088	2100	2740	1758	2932	2574	1500	1142	1929	1314	920	2281	2535	1895.99	1304	3494
XRCC5	7520	6298	7720	7491.98	4726	10326	6932	5465	13775	7765	5578	6733	8840	7193	6019	6212
INSL6	11172	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0
PPP2R2C	5522	913	725	1283	767	1159	1281	2748	2045	963	1039	363	2855	1975	1309	828
NSMAF	8439	1246	1422	1331	1173	1818	1149	864	2188	1147	1004	1184	1321	1567	963	1246
HFM1	164045	47	62	57	219	107	56	54	73	42	125	68	315	305	240	137
CHST11	50515	1471	1193	653	617	1475	1030	2372	2359	1071	737	995	1646	1387	1559	1308
SCN7A	6332	1861	1008	134	2816	1662	3041	851	675	1220	1354	855	1520	910	1691	1292
C16orf11	146325	0	2	2	0	1	3	2	0	0	0	0	0	0	0	0
RSL24D1	51187	2618	2770	1869	3221	2985	2134.11	1785	3608	2334	1734	1681	3047	4631.01	2194	3361
VILL	50853	384	427	461	652	655	309	490	618	419	407	446	765	750	535	573
RP1-130H16.18	0	45.8	16.65	34.21	56.21	65.51	70.19	39.3	46.65	31.28	28.03	43.66	20.21	42.04	80.82	83.25
MYBBP1A	10514	1449.22	1939.4	2005.12	1820.39	2758.16	1962.22	1983.59	2734.15	1299.11	2204.41	2295.57	2600.89	2503.48	1974.48	1794.5
OR8A1	390275	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
CAMK2G	818	6026.89	2422.89	3984.84	2328.95	9284.44	5826.72	4220.87	4763.69	2770.94	2348.35	3053.83	4893.89	2283.97	3830.81	4151.9
TAF9B	51616	1110	912	873	707	2381	1298	1146	1153	1086	739	829	1155	1153	846	835
SLC45A2	51151	0	0	0	3	4	0	0	3	2	0	2	1	1	0	1
NQO2	4835	667	268.49	501	549	832	775	325	456	379	359	546	596	535	402	745
PRPSAP1	5635	1131	1046	846	1984	1596	924	993	1847	1181	1116	981	1059	2431	1178	3250
SRP72	6731	2147	2734	2200	1768	4043	2473	1940	3299	2182	1711	2352	2512	2245.01	1914	2101
H3F3C	440093	2.1	1.01	1.01	1	4.11	1.01	0.01	2.01	1.01	1.01	2.01	12.15	3.02	1.01	4.02
WFIKKN1	117166	40	65	192	209	101	52	105	134	80	67	47	188	204	72	83
HNRNPUL2-BSCL2	0	2213.32	2452.91	2493	1654.3	4296.94	2466.53	1650.17	3741.43	1959.37	1664.82	2444.51	2403.39	1417.58	1401.78	1609.75
PHF20	51230	1895	2022	1263	1263	2847	2177	1065	1938	1422	1223	1504	1585	1637	1468	1708
OR9Q2	219957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE1F	353137	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
METTL21C	196541	9	9	25	0	5	16	1	14	42	1	0	1	7	3	4
DARS2	55157	280	334	335	272	466	248	160	308.85	227	210.95	376	365	281	259	233
GPRC6A	222545	0	1	1	0	2	0	0	0	2	0	0	1	0	1	0
PCK2	5106	367	100	399	250	849	329	175	280	111	215	405	435	184	325	191
EXD1	161829	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0
ATPAF1	64756	1126.72	1028.93	1275.55	944.8	1597.85	1202.33	1104.97	1618.42	1116.66	613.88	1213.68	1366.57	1238.97	833.98	993.96
PXMP4	11264	159	98	105	98	280	153	106	138	115	94	148	169	107	105	60
ZC3H15	55854	1249	1765	1420	1227	2403	1406.89	1161	2084	1220	945	1400	1542	1690	1153	1795
TMOD4	29765	0	14.95	3.63	0.63	9.01	3.77	5.11	10.4	0.46	7.34	1.25	7.8	25.49	19.31	0.34
TPST1	8460	569	577	654	373	1102	690	595	1240	804	415	1497	670	1220	499	543
BAP1	8314	2063	2288	2856	2445.96	3352	2585	2399	4200	2183	2279	2280	3192	4261	2225	2820
REG4	83998	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0
RHD	6007	10	46.95	22	28	6	2.18	3.14	26.99	12	0	4	44.99	72	14.68	32
CAV2	858	3296	2648	2439	1981	4824	3616	1213	1288	1001	1292	1521	2028	1618	2038	4641
GNG5	2787	1303	1437	1825	661	2077	1102	1669	1463	1061	923	1889	1507	1763	1327.93	1388
PRPF6	24148	2710	2935	3100	2448	5421	3721	2294	5990	2838	2546	2495	3557	3607.05	2813	2581.98
C4orf29	80167	366	484.89	404	593	504.95	351.93	253.8	517.87	328.91	342.78	404	553.96	562	417	567
HK2	3099	153	79	140	39	267.97	148	119	402	180	104	308	62	76	66	152
MRGPRD	116512	8	5	1	2	23	3	3	5	0	2	3	9	0	3	0
MAP7	9053	71	87	143	28	75	46	38	402	131	29	64	32	94	31	48
ARHGEF39	84904	358.17	287.55	145.37	196.89	416.16	264.27	229.25	172.72	159.66	222.11	165.01	353.26	176.47	339.59	646.86
WFDC11	259239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD37	353322	153.13	323.98	196.02	256.85	293.78	198.48	81.5	120.86	175.55	137.75	363.17	198.74	359.16	121.54	951.58
MRPL49	740	1395	1244	1321	1642	1660.1	1570	1382	2483	1287	1263	1139	1689	2763	1407	1848
PNKP	11284	721	996	1168	1241	1337	696	1103	1169	727	1173	946	1364	1777	1142	1131
FKSG68	0	1	2	0	0	1	0	3	1	0	0	0	0	1	0	1
BET1L	51272	2333.26	2178.42	2124.09	3561.02	3131.59	2748.08	2049.12	3432.63	1823.1	2049.15	2193	2932.38	5092.09	1938	3076.59
SLC27A2	11001	9	4	9	5	8	3	2	8.4	2	2	14	5	5	1	0
S100A3	6274	111	47	65	23	113	71	12	28	35	17	70	71	29	27	36
SH3BP1	23616	249.76	108.98	302.1	327.78	370.6	221.35	406.56	544.64	232.38	212.14	451.15	470.33	717.82	326.5	441.6
LTBP4	8425	29566	14936	7330	44732.62	55153	33620	41256	18999.95	15024	27465	16948.37	40411	39687.06	24986	44132
WNT6	7475	63	34	183	104	199	58	69	141	65	68	82	192	105	64	73
TEKT5	146279	3	1	0	1	4	3	1	5	0	1	1	1	0	0	0
AC135048.1	0	5.16	15.48	15.63	19.11	25.68	16.17	5.67	19.23	2.94	22.22	16.98	25.9	20.12	19.76	34.96
OMP	4975	1	0	0	0	2	1	0	0	0	1	0	1	0	0	0
AL365202.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT1H	4496	0	3	1	1	3	0	0	2	1	0	0	1	0	0	0
DAXX	1616	1803	1514	2355	1216	2947	1976	1678	2955	1719	1414	1881	2022	2806	1301	1755
ABCA5	23461	863.36	1246.05	1167.87	2307.7	934	738	537	981	567	791	850	1728.56	2217.93	1080	1912.64
BTBD7	55727	1529	1650	1292	981	2709	1659	1263	2175	1274	1224	1363	1654	2158	1220	1495
HIST2H2AA4	8337	169.56	189.52	160.25	1510.61	248.61	86.24	88.18	329.39	140.79	77.61	435.02	230.73	3556.29	234.2	2072.66
DAD1	1603	2397	2676	3121	1890	3894	2141	2329	2527	1833	2039	3059	2969	2998	2305	2562
PLA2G15	23659	304	285	665	252	519	466	453	654	323	230	504	650	791	361	461
NUDT3	11165	1781.86	2557.13	2059.72	1815.26	2687.97	1775.3	2548.15	2277.67	1336.41	1647.43	2044.15	2633.99	3843.66	1855.72	3948.63
B3GALT5	10317	7	14	17	3	20	17	222	134	161	85	6	85	249	34	4
DARS	1615	1835	2320	2293	1322.97	3109	1926.99	1377.99	2702.98	1703.98	1138	1879.99	2008	2363	1461	1864
RNF207	388591	716	988	548	602	821	567	731	770	525	105	464	841	1436.35	729	934
SLC1A1	6505	199	131	205	137	199	118	111	168	108	234	242	201.93	200	263	180
AC073333.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KDELC2	143888	2665	2667	1658	2759	6027	3676	2228	1333	1543	2278	2426.94	2698	2870	2639	2952.96
RNF165	494470	39	17	15	20	111	72	45	40	25	20	51	30	53	28	48
DBF4B	80174	252	564	392	619	508	322	370	507	325	488	364	517	1130	654	521
PCDH18	54510	3384	2037	1111	1216.07	3102	1392	1391	1667	2376	994	584	2088	2191	1294	2320
PUS3	83480	240	282	218	152	296	150	233	382	251	190	241	238	291	154	136
CERCAM	51148	1773	1163	2859	1677	4106	2119	3379	2082	1070	1795	2380	2997	2019	2008	2597
PSMD3	5709	2652	3154	3548	3655	4708	3371	3371	5779	2572	3061	2975	3486	4110	2812	3560
SPA17	53340	119	121	145	40	207.78	159	123	115	115	99	85	82	101	88	37
KIR3DL1	3811	9	2	1	1	6.17	1	1	3	0	1	2.64	0	0	1.39	2
EBNA1BP2	10969	793	1110.97	1209.96	667.93	1944.65	1090.89	974.94	1382.79	827.89	1019.93	1088	1121.92	1243.58	941	728
GPRIN1	114787	21	32	43.81	0	49	17	83	58	39	8	46	22	15	8	11
SDF2	6388	663.56	853.04	939.06	569.87	1446	880	840.52	1259.88	856	617	1082.58	947.16	1308.91	748.16	918
SPDYE3	441272	85.14	83.34	85.79	70.04	121.56	94.48	92.63	118.7	71.71	80.36	85.87	149.75	97.43	78.72	64.11
SLC27A5	10998	141.97	160.9	148.72	204.73	237.12	133.51	164.6	153.54	107.87	161.36	139.63	224.94	233.23	169.72	214.29
CLEC1A	51267	336	281	515	442	198	212	256	457	194	210	491	563	325	430	1460
IL3	3562	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SULF2	55959	11778.97	10688.94	11876.95	8082.95	27395.78	14634.96	10525.97	16315.91	13627.95	9638.93	6985.97	9975.86	17192.99	11008.97	4864.99
RP11-685N3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C16orf71	146562	12.99	32.19	9.18	30.39	50.87	13.63	24.85	22.76	32.9	10.62	15.97	18.77	29.85	23.16	25.5
BRK1	55845	4070	3635	4245	2874	5941	3706	3408	4918	3109	3067	3793	5089	3921.99	3503	4083.24
AHSG	197	0	7	17	2	1	0	0	6	1	0	0	0	0	1	0
ERI2	112479	368.94	327.73	286.69	469	423.21	238.68	202.32	435.97	271.25	252.33	233.24	375.01	361.66	432.08	304.38
MRGPRX3	117195	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
FAM198B	51313	2711.19	2768.98	2187.92	1563.26	4290.42	3514.54	6156.05	5131.78	5362.41	1994.9	3251.73	3536.7	4863.01	2297.91	3072.11
PRDM7	11105	1	0	0	4	1	0	0	3	1	1	0	0	0	0	2
FAM153A	285596	51.64	40.96	33.88	104.97	138.9	280.43	23.05	24.1	29.51	33.75	23.89	15.74	134.67	22.82	65.17
SF3B3	23450	3056	3521	3677	3623	6441	3601	3514	5227	3111	3429	4032	5501	4901	3677	4160
SCGB1A1	7356	0	2	0	2	5	1	0	0	0	0	1	2	0	0	0
TMEM104	54868	358	497	544	304	725	535	578	594	357	363	501	476	486.99	463	376
SPATC1	375686	1	0	2	0	9	2	3	5.42	1	0	7	0	0	1	7
PARP2	10038	566	1080	671	1531	1508	888	810	1571	665	947	445	1188	1315	1013	1699
MUC22	100507679	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
SAMD15	161394	10	34	21	20	21	22	9	17	25	16	9	30	39	11	3
INTU	27152	990	1942	1014	3688	1167	903	928	714	835	1296	803	3163	3191.17	1799	2607
UBE2Z	65264	2330	2915	3281	2420	4110	2561	2949	4491	2461	2124	3080	3713	3671	2069	3279
C1orf229	388759	52	31	28	96	74.77	35	34	39	19	35	12	106.5	114.3	68	46.64
CDAN1	146059	713	851	815	2320	1016	742	963	1340	762	1205	845	1418	2570.02	1335	2313
OR5P3	120066	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0
KIAA1658	0	2	2	0	5	1	1	1	2	0	1	1	2	2	0	0
WNT10A	80326	2	4	2	1	2	1	3	2	4	3	1	5	6	2	4
CDC6	990	16	21	29	14	40	16	66	15	14	19	50	34	17	27	27
GRB10	2887	2419	2970	3301	2434	3076	2032	1474	2708	1955	1597	2538	2520	2241.04	1774	2713
AC104057.1	0	1	0	0	9	2.62	1	0	5	1	1.3	3	0	12	2	3
PPP2CA	5515	2887.58	5039.95	3646.14	1520.51	6322.86	4091.7	3132.38	4830.58	4419.76	2139.41	3465.15	3077.85	4032.15	2417.44	3109.87
ENOX2	10495	582	596	520	386	891	554	253	1016	704	393	409	535	564	370	351
NDC1	55706	407	538	351	377	711	494	419	532	407	506	448	549	591	412	316
PPP1R18	170954	2349	2865	4930	1837	5046	3622	2692	6484	3697	2392	5101	4806	4930	2070	3868
DIO3	1735	349	101	129	393	976	265	166	77	114	279	3159	480	160	280	224
KPNA5	3841	593	1129	737	1202	799	523	489	936	541	478	533	1187	1597	787	1419
GPT2	84706	158	165	216	101	252	106	350	592	342	151	167	222	411	198	137
HMOX2	3163	721	701	1139	509	1591	973	982	1164	614	695	1207	869	931	778	620
RP11-9B6.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDST3	9348	0	3	2	2	2	1	0	2	1	0	12	0	2	4	0
AIM1	202	251	208	325	218	385	204	154	414	177	261	296	491	335	264	444
BNIP2	663	2591.81	3016.8	2375	1337.42	4705.7	3100	1728	3825.68	2305	1641	2316.58	2280.73	2584	2045	2085.85
CNTN2	6900	4	18	5	17	35	9	9	4	7	5	74	2	0	1	3
PGA4	5222	261.52	19.32	0	0	527.18	264.4	251.22	691.32	179.66	66.47	317.75	164.12	42.35	200.45	125.79
SNX24	28966	156	452.24	347	160	254	165	180	186	126	120	283	292	228	164	292
CCDC106	29903	384	154.06	595	440	695	491.2	553	924	473	448	439	461	595	503	343
