symbol	base_avg	l2fc	l2fc_se	test_stat	pval	padj
KMO	112.20882269900713	2.059299842065934	0.23767791803152272	8.664245543386212	4.545128293311412e-18	9.76693860304974e-18
ALX1	28.603228830716237	-0.6340210754382235	0.27059023553748235	-2.3431040450474736	0.01912404917721617	0.022566999949413528
CORO7	1223.733343474574	0.09008734239948596	0.07625749335713256	1.1813572467899625	0.23746083445321117	0.2576705693471657
CITED2	4405.743853921424	-1.9871444523904935	0.1374912432898171	-14.452880087801677	2.40418645502485e-47	1.1335539203096636e-46
TP53TG3D	32.65628502022499	-0.3852206756762125	0.29887617579906983	-1.2888972319265448	0.19743381652321892	0.2156038120368822
ARL5B	1636.0341108583696	0.8026137220893672	0.08249358776963618	9.72940738534334	2.259051771255413e-22	5.499996817751873e-22
NEO1	3297.3134361243	-0.02324498823189808	0.0985488137000151	-0.23587283660923983	0.8135313468351946	0.8270241063277265
ELF2	1631.091693539451	-0.5999014247074009	0.04668594352065187	-12.849722624584638	8.63191941024335e-38	3.2098568120525743e-37
SDR42E1	182.58714061421693	0.6500432383788096	0.20793634399234787	3.126164603541993	0.0017710239291180451	0.0022276544055732594
KIF13B	2487.860623275552	0.7798501696261444	0.11434151779969733	6.82035873436874	9.081344961266178e-12	1.5985528440113734e-11
NOTCH3	10002.208572040076	-0.1624383887442751	0.10864602952041379	-1.495115739261821	0.1348842388918418	0.1497035998173785
SF3A3	3554.7144259294364	0.2930838689942564	0.045459475646918907	6.447145833150865	1.1397610820919967e-10	1.927902788774482e-10
OLFM1	1010.708103424223	-2.815871825481482	0.22720250604223202	-12.393665345214425	2.8281519833827933e-35	9.861841521144344e-35
CETN2	3638.2383238325388	0.5614986779358723	0.10123079999274304	5.54671777735753	2.9108201248806362e-8	4.50913674229076e-8
CDH26	54.01899666061759	-0.502941506455913	0.18588507448988464	-2.70565836356744	0.006816913631586554	0.008279506226929632
FBXO30	1027.0073255485704	-0.8190284968341519	0.07405323127417307	-11.059996744798328	1.9610464162048085e-28	5.676334577090594e-28
MIPOL1	323.53662402353837	-0.602962327089917	0.10565192795632213	-5.7070641185004165	1.149414918874632e-8	1.810228721626949e-8
SLC48A1	1798.679167716675	-0.19368521907943442	0.0834804782000782	-2.3201258935679285	0.020334067968407143	0.02396835987206411
FAM19A5	460.46583410377076	-0.9454230209407154	0.21646433826896622	-4.367569404277516	1.2563687882324345e-5	1.755162772380154e-5
LY6K	308.57183648815396	3.5953504402332284	0.21054233210514905	17.07661544490558	2.2160622081754135e-65	1.6390548977956188e-64
TLR8	46.327619205294596	1.2312544464584567	0.19444554198498537	6.332129982972463	2.41799643284108e-10	4.0391961404139324e-10
EIF5	7369.309180569325	0.07342378501147233	0.0558598281699817	1.3144291240575146	0.1887018349075082	0.20641609735481256
AP2S1	2944.9243486123523	1.551894341123229	0.07427676160169513	20.893403369484165	6.147830217342901e-97	9.333898211987635e-96
MAGEL2	77.40605439979247	-1.990208165538653	0.342616661492416	-5.808848165379451	6.29041034007875e-9	1.0003235585945198e-8
RP11-383H13.1	175.84970424138012	-2.110034171543933	0.1592739895981732	-13.247826445907863	4.644609146178913e-40	1.822780526478997e-39
ATIC	3692.1499529622242	1.1650949497286265	0.06428005163017467	18.125295798326672	2.0125789389981664e-73	1.8022813272578346e-72
C9orf147	8.57709854462286	-0.78918508691028455	0.12986246999714643	-6.077083601810638	1.2238796390177832e-9	1.992896095018815e-9
RP11-178L8.4	20.300843461136985	-0.4581614094853937	0.17021896704733777	-2.6916002219539927	0.007111012892508078	0.008625734232050148
CEP68	1856.7202880293307	-1.1234755880181015	0.059836624351967536	-18.77571805203546	1.1932378055045807e-78	1.2101125492045617e-77
ELMSAN1	2442.7733709396553	-1.1489518597705377	0.07011026966905827	-16.387782634326452	2.3381938386632467e-60	1.5342441524364297e-59
IL10RA	501.81077884103576	-0.06460363530985999	0.13048065792211644	-0.49512039821581627	0.6205151358242555	0.641957353553029
EZH1	3308.6508428707057	-2.4035095949011205	0.07399615317128298	-32.4815479169246	1.9430712338510647e-231	4.14742839950116e-229
SHARPIN	2593.535190281536	0.5174756168857144	0.06531148604424974	7.923194651169246	2.3148477010102553e-15	4.568506672406077e-15
GTF2H3	1053.5700304357717	0.49823051801009327	0.052252476670814396	9.535060340754715	1.497984282110395e-21	3.573692153889401e-21
ITGB1	26406.635733981293	-0.32478082377324247	0.07886913130108053	-4.11797135857122	3.822221853558238e-5	5.217951172995268e-5
USF2	5326.653411180951	-0.15720582637583372	0.06353117100334117	-2.474467633652874	0.01334349107729921	0.015893576589774132
NECAB3	1227.7140589026	0.6238824416499015	0.0963450262933633	6.4755023238068015	9.449703307421892e-11	1.6048485173317923e-10
RP11-108K14.8	12.628463022638606	1.7268768085857924	0.3021523217192249	5.715252488413751	1.0954125464022665e-8	1.7269786087396872e-8
MXD3	583.0537624812755	0.6990066676138992	0.11262642157638544	6.206418155084677	5.420583007060288e-10	8.938074842960539e-10
RPF1	1290.1120661592215	0.39642341769808415	0.045850151343446915	8.646065630811545	5.330546334804749e-18	1.1434393728110966e-17
DYNLL1	8474.839439263917	0.8388708279237147	0.0687320675090435	12.204940987892433	2.9252051086489104e-34	9.91443980687786e-34
SGOL2	435.0994730313241	2.7609258865342046	0.09079927465738871	30.40691566041642	4.450310198962314e-203	5.936910142630388e-201
PRL	65.93601369172146	-2.3356692267814587	0.309310670402572	-7.551208058039362	4.31239287398539e-14	8.169546195334336e-14
WWC1	2103.91462159853	3.4817766773389587	0.2556618472845979	13.618679182361971	3.1012583837771944e-42	1.2852017098417002e-41
TPPP3	2476.1066151589084	1.6188948039683413	0.23940314295390253	6.762211991009918	1.3590065217259576e-11	2.3781303360025124e-11
NTPCR	2097.9431232358406	0.8450394950659684	0.07402995578590799	11.414831821726231	3.5258530332289724e-30	1.0724149468880679e-29
OGN	2218.5146341121117	-5.592079825758206	0.28706265477164716	-19.480345955159503	1.6118669694154644e-84	1.862681683191387e-83
MTRR	1071.457555320491	-0.638790051351766	0.06121348854084667	-10.4354459544568	1.708098123336262e-25	4.539332686639783e-25
C1QL3	15.83975050843696	-0.2925914045080287	0.16767840686269272	-1.7449557756570517	0.08099256734505011	0.09137790867117992
SPG20OS	17.361921510710427	-1.8172686167663934	0.14015371684933306	-12.966253465257573	1.9009724657185844e-38	7.18079188955492e-38
C19orf60	1484.9740539519817	-0.34520010500806325	0.08982461529844135	-3.8430457381992618	1.2151681139125382e-4	1.6210878743172925e-4
NUTM2E	33.25227612281423	0.7678491411217744	0.25396360875919993	3.0234612938179817	0.0024990099444902425	0.003117833683323234
PMCH	9.152065361287152	3.7229293138381774	0.27235305887449707	13.669496972874974	1.5445923083679057e-42	6.457036463299289e-42
FGB	39.53677517656513	0.5990796977923578	0.4214914459180129	1.421332991675681	0.1552199766692552	0.17114130563310498
GPX2	330.60362308574685	5.228742589803586	0.3411076547610549	15.328716658282874	4.916032947715558e-53	2.6873029759085078e-52
TRIM52	898.8707741418455	-1.2376454528385084	0.07232910795203043	-17.111305363524327	1.2222923072159008e-65	9.073669938550773e-65
FPGT-TNNI3K	101.3881585769936	-3.381382371278005	0.15638873878060783	-21.621648704652742	1.1238991995070327e-103	1.94384205687856e-102
CLDN16	298.90631443986166	3.9852418537616425	0.29221567538962623	13.638015306495499	2.3794862689469576e-42	9.901609948968957e-42
PTGES3L-AARSD1	61.32715473047302	-1.9006886559733176	0.1894264619224985	-10.033913090510875	1.0814383819771244e-23	2.738003986074654e-23
JAKMIP3	107.80541259398422	-2.5629780922862846	0.22699428188695178	-11.290936806781348	1.4547777543798664e-29	4.346127580720223e-29
CLCN4	269.6371655158245	1.8030377523324295	0.15725857977956206	11.465433268314174	1.96772319180746e-30	6.027418853446352e-30
RP11-1084J3.4	67.77350274980971	0.3094401821233572	0.3003935209804469	1.030116032840466	0.30295553982213697	0.3248343690676101
