Hugo_Symbol	Entrez_Gene_Id	GTEX-ZLWG-1026-SM-4WWC4	GTEX-13OVJ-2326-SM-5IJGA	GTEX-14BIM-2226-SM-5SI8Y	GTEX-Q734-1626-SM-48U1B	GTEX-S7SF-0826-SM-4AD4W	GTEX-12WSD-2826-SM-59HKT	GTEX-145ME-1326-SM-5O98Q	GTEX-S341-1026-SM-4AD71	GTEX-P4PP-2026-SM-3P61N	GTEX-113JC-2226-SM-5EGJG
CFH	3075	1091	556.05	708.48	362.26	1264.67	1816	1048.67	2117.01	324.16	2338
WDSUB1	151525	264	261	452	306	189	348	254	239	465	240
ERVV-1	147664	0	0	0	5	0	0	1	0	1	1
BACE1	23621	1877.49	1608.14	1701.32	2117.32	2135.53	2199.83	3007.66	2465.9	3172.06	1686.85
ARMC8	25852	1571	1653	1685	1332	1162	1888	1722	1299	1834	1153
PHF13	148479	1685	1419	1399	1736.01	1047	1544	1790	807	1974	1625
KAAG1	353219	0	0	1	0	2.75	0	2	0.78	0	0
KLHDC8A	55220	312	69	141	75	4	443	167	11	26	450
CCDC22	28952	712	808	654	793	579	858	602	578	1078	603
PRR19	284338	26.68	1.07	9.36	27.55	17.63	11.32	17	15.25	33.97	5.16
VSTM2L	128434	27	26	17	51	13	33	55	18	83	66
ZNF737	100129842	106	74	194	237	144	197	188	101	311	117
TES	26136	4798	2586	1884	3777	3977	3518	11057	12442	569	2810
C11orf73	51501	1072.99	1422.99	1480.91	1212.97	788	1826.89	975.96	857.98	1925.94	1152.98
AC096644.1	0	0	0	0	0	0	0	0	0	0	0
C5orf34	375444	77	87	139	45	45	70.35	54	39	99.34	36
PLEK2	26499	0	1	3	3	10	3	7	1	10	0
PLA2G5	5322	88	50	79	32	25	71	65	141	8	74
FAM153B	202134	99.05	18.97	13.25	19.95	477.41	14.89	438.76	137.4	132.25	23.49
MLKL	197259	373	862	1003	960	840	1034	594	371	339	815
PRRG1	5638	349	387.25	529.5	297	417.09	302.72	404.73	333.77	381	293.1
COG5	10466	1668.97	2054.05	2335.01	2190.2	1694.31	2004.71	2106.91	1094.05	2222.37	1609.24
MFAP2	4237	1454	1294	1301	613	983.42	1009	552.63	439	2804	472
NDUFV1	4723	4211	6217	4342	4099	3004	6859	3392	3012	9002	3997
ARL15	54622	347	648	908	764	1681	1085	774	582	382	594
DQX1	165545	3	2	5	13	2	4	2	1	1	0
TRIM14	9830	431	747	502.57	386	241	618	290	486	883	428.76
C1orf95	375057	738	2298	1601	724	631	1126	413	370	788	828
TOX	9760	35	9	22	59	65	42	111	33	80	64
WDR43	23160	1288	1159	1156	720	759	856	877	702	1299	596
COPB2	9276	4414	4119	2752.01	2724	2801	2867	3799.07	2563	5056.98	1792
POLR3G	10622	74	89	113	62	36	112	55	62	148.23	72.06
RP11-379H8.1	0	0	0	0	0	0	0	0	0	0	0
OR2D3	120775	0	0	0	0	1	0	0	0	0	0
CABLES1	91768	460	609	621	1073	593.97	1273.13	274	337.8	856	1134
KIAA1244	57221	195	171	341	145	212	280	211	275	221	196
GAGE2E	26749	0	0	0	0	0.5	1	0	0	0	0
PIGT	51604	3659	5049	2838	2358	3488	2606	4855	5432	4295	2342
SHOX	6473	0	0	0	0	1	0	0	0	0	0
SP5	389058	40	95	140	123	237	179	49	26	909	66
NOP9	161424	1365.1	1358.92	1405.32	1669.71	1226.59	1709.67	1525.38	1203.37	2900.03	991.69
PEPD	5184	2296	1788	1270	1593	1764	1489	1895	2377	2260	1124
TRPS1	7227	977	1097	1172	642	650	1699	1258	1098	1293	1143
CYSLTR2	57105	4	4	10	12	18	13	6	4	77	6
PTRH2	51651	411	302.05	229	273.07	189.01	232.05	262.3	247	509.45	141
THAP4	51078	1231	1515	1351	1697	1152	1516.99	1259	1008.98	2124.99	1190
MAOB	4129	12197	6006	4968	5378.19	7957	7428	4857.01	11507	7932.76	6396
CCDC102B	79839	55	68	109	76	130	276	116	76	50	277
ERH	2079	1711	1570	1444	1472	1238	1476	1722	1281	2289	1052
HBB	3043	424	39855	7668	180	1277	7678	7607	975	1751	9768
NRXN1	9378	67	76	148	13	27	71	37	11	27	317
PEMT	10400	485.97	830	443.92	397.95	349.98	395.79	491.88	360	836.86	292.88
IMPG2	50939	16	4	17	29	26	47	40	19	36	27
C7orf13	0	43.23	22.64	87.19	128.23	72.04	31.41	31.54	42.57	155.51	72.55
RGS21	431704	0	0	0	0	0	0	0	0	0	0
SLC22A8	9376	1	0	0	0	2	0	1	2	0	0
MYRFL	0	0	1	1	0	0	10	0	4	0	0
KRTAP13-3	337960	0	0	0	0	0	0	0	0	0	0
PLEKHO1	51177	2335	4140	1831	2757	3682	2944	2869	2352	3660	2035
TMEM251	26175	281	260	287	316.74	255	291	203	201	490	163
RAB28	9364	823	570	831	664	542	917	656	483	1043	732
PILRA	29992	137.42	116.41	132.31	145.56	285.32	294.91	90.16	144.8	506.63	100.19
TGDS	23483	285	357	519	356	245	289	231	195	509	214
AL162424.1	0	0	0	0	0	0	0	0	0	0	0
BCORL1	63035	1062	1118	1454	1543	926	964	1333	650	1306	894
OPTN	10133	3064	3925	4186	3475.92	2741	4574.95	2839	2915	3062	3993
MARVELD1	83742	4761	3810	4333	6300	2853	5247	5391	6473	6456.11	3665
EIF4E3	317649	1224	1406	2264	977	996	1527	1221	1349	1799	1506
SLC45A1	50651	594	573	381	326	311	479	332	349	819	349
ZNF202	7753	834	608	1128	1165	501	879	610	355	1314	436
NARF	26502	1452	3791	2747	1738	1383	3357	1420	732	3892	2182
AC015987.2	0	1070.82	823.9	888.46	753.17	784.54	750.87	1217.74	620.82	1284.23	693
TSHZ3	57616	2250	2127	2230	2863	1649	2219	3459	2347	4094	1840
ARFGEF2	10564	2064	2378	1995	1449	1924	2014	2412	1694	2932	1422
TVP23C-CDRT4	100533496	208.66	14.87	215.2	234.15	241.22	107.32	269.1	59.04	725.89	114.98
PARP1	142	2934	2055	2513	3057	2038	2013	3293	2453	3495	1559
ANKDD1A	348094	761	1342	912	556.59	396	806	514	788	1081.46	761
CLEC4M	10332	9	2	8	53	98	2	19	7	5	2
TTLL9	164395	12	13	19	30	17	12	8	18	17	23
RP11-3B7.1	0	18	9	9	16	12	32	14	17	33	36
CACNA1A	773	227	99	89	86	63	153	60	67	253	87
MTCH1	23787	5409	10366	6061	7209	4643	6791	5723	5649	8989	5565
CATSPER2	117155	506.58	1037.06	757.88	487.44	273.73	1361.41	136.57	130.05	1497.29	709.18
ADM2	79924	5	2	3	5	4	2	2	1	3	2
PTCH1	5727	507.44	598.47	787.47	725.01	650.62	850.95	851.6	314.97	1826.13	656
NRG2	9542	96	61	111	32	60	124	24	32	549	56
TPH1	7166	91	92	66	23	44	115	55	62	219	48
MEF2BNB-MEF2B	4207	206.91	466.91	442.73	386.68	205.87	456.84	178.83	173.39	566.4	355.51
PLK5	126520	88	131	254	49	22	72	243	3	328	112
ATP6V0D2	245972	1	0	0	0	0	0	0	1	0	0
GYLTL1B	120071	3	6	28	5	33	11	4	3	461	7
TMPRSS2	7113	2	6	2	6	5	10	2	2	79	6
AKAP4	8852	1	7	0	1	1	2	0	3	0	3
UBE2J2	118424	1639	1387	1259	1681	971	2020	1163	1073	2269	1063
SLC38A7	55238	593	285	395	657	584	624	619	416	858	301
CNBD1	168975	0	0	0	0	0	1	0	0	0	1
KRTAP22-2	100288287	0	0	0	0	0	0	0	0	0	0
PAX3	5077	8	6	10	0	4	4	1	1	3	10
FOXO6	100132074	471	410	391	283	71	422	153	94	755	295
LDHAL6B	92483	4	6	3	6	20	7	7	2	8	4
EEF2	1938	62614	108665	79879.99	63752	56456	58247	66482	43836	103512.26	50121.86
IQGAP1	8826	17265	12690	12857	9280	9404	9716	17933	10303.86	10162	13450
CD68	968	525.61	1090.21	60.21	602.74	870.49	63.97	346.55	701.66	118.68	49.68
WDR76	79968	197	207	295	204	151	208	137	116	282	142
MAP4K2	5871	508	421	637	683	525	575	422	510	1381	455
HLA-DOA	3111	516	444	734	155	258	416	113	166	173	197
KL	9365	55	44	183	158	290	69	71	83	108	77
PLCL2	23228	582	467	630	496	343	535	681	469	603	547
KCNE3	10008	350	166.63	413.5	411	235.03	213.58	428.64	428.42	504.8	259.06
DEAF1	10522	919	776	832	810	586.85	830	901	847.23	1263	668
MTMR12	54545	2537	2154	1860	1947	1454	1996	2094	1362	2836	1724
HERC4	26091	1576	1688	2268	2170	1359	2076	1564	1051	2835	1686
KIAA1324	57535	9	26	17	11	119	17	21	12	568	16
THOC2	57187	3191.37	3946.55	3051.39	2508.89	2130.49	3494.25	3622.32	1903.99	5449.45	2776.02
MANBA	4126	976	1177	1545	884	655	1072	795	610	2177	885
XIRP1	165904	6	1	7	0	5	9	5	10	27	9
GNB1	2782	9529	10222	10014	8611	7722	8394	10554	9820.01	10032	8407
DUOX2	50506	9	21	22	23.7	24	11	30.27	27	30.94	15.2
PSMA5	5686	1310	940	950.05	1282	1173	908	1857	1192	1232	652
AC144568.2	0	0	0	0	0	0	0	0	0	0	0
IKZF5	64376	1039	1567	1972	1139	742	1733	872	592	1976	1381
TARS	6897	1325	1648	1252	1135	1101	1169	1494	1463	1220	843
CEP85L	387119	604	931	840	765	625	1172	701	357	1564	756
UQCC1	55245	1414	2588	1927	1510	1024	2961	1428	920	2999	1903
AC106017.1	0	0	0	0	0	0	0	0	0	0	0
C20orf141	128653	2.79	8	1	8.66	3.95	2	9.51	1	2.79	0
KCTD16	57528	13	30	16	24	27	55	20	26	8	164
FAM65B	9750	8579.97	3296	3092	1720	2111	1987	5706	4633	6945	1649
ZSWIM4	65249	347	550	336	448	595	633	289	170	790	491
F8A3	8263	242.39	55.03	0	202.68	0	130.31	0	0	265.76	162.52
RASA1	5921	1898.82	3139.62	2148.19	1679.46	1262.44	1664.42	1509	919.15	5115.33	1695.01
PFDN1	5201	1388	1358.99	1171.11	1149	1161	1460	1773.99	1556	1621	1331
C6orf141	135398	86	119	301	106	152	164	64	184	360	132
STOM	2040	8660	21547	13009	8047	9457.44	10124	11799	6839	6475	11213
STEAP3	55240	315.25	138.43	233.53	164.92	311.18	241.73	355.31	187.48	202.64	99.62
RALY	22913	3582	4558	3588	3773	2818	3974	2995	2177	4985	2871
RSPH3	83861	412	350	527	447	484	759	537	449	559	504
GCNT3	9245	2	2	1	5	2	2	1	1	27	0
PDE7B	27115	812	719.81	511	580	610	785	488	740	862	554.9
TAPT1	202018	1549	2013	2232	1396.59	1017	2015	1472	937	1998	1887
PRODH	5625	684.96	181.67	654.2	39.48	149.06	266.92	46.64	203.82	605.34	116.19
ECSIT	51295	1162	1672	1414	1343	1009	1513	1126	876	2132	1144
UGT3A2	167127	1	1	0	0	1	4	0	1	0	1
TNMD	64102	5	4	6	3	6	32	9	28	0	8
IGSF5	150084	0	1	4	2	3	0	7	4	28	1
TCF15	6939	34	14	38	29	21	67	13	25	16	20
C16orf46	123775	43.53	61.44	81.86	62.71	31.57	61.74	35.63	24.92	48.76	36.04
HCFC2	29915	944	902	717	521	584	1007	1111	540	1398	631
CBX5	23468	3477	2910	2891	2146	1665	4935	2464	2351	4435.63	2825
ZNF99	7652	6	0	8	12	5	5	6	2	10	2
FJX1	24147	184	65	40	124	395	163	125	178	482	136
ERICH2	285141	20	20	57	11	13	37	14	6	48	20
BMP7	655	7	3	2	25	9	13	19	5	80	34
AL355390.1	0	0	0	0	0	0	0	0	0	0	0
TRIM54	57159	97	15	114	25	19	13	1	303	253	5
DAGLA	747	526.84	140.81	222.34	285	253	225.71	446	499	675	174
RNF111	54778	873	1103	1546	1171	971	1301	1070	601	1772	909
RNASE10	338879	9.04	21	14	28	5	27	16	6	32	11
ZNF805	390980	82	63	64	61	45	64	58	51	114	37
CD1C	911	21	1	4	7	26	28	25	33	2	2
OR9G1	390174	0	0	0	0	1	0	0	1	0	0
JPH1	56704	204	110	50	336	138	28	614	178	103	92
USP22	23326	9470.24	8677.12	8483.5	11878.8	6408.8	9493.69	7234.79	4727.79	15784.75	7869.64
APOD	347	10028	10187	8602	6164	12349	13484	5631	12843	1637	18770
OR4N4	283694	0	0	0	0	0	0	0	1	1	1.1
NOVA1	4857	653	635	940	565	584	1390	550	463	1257	1152
TICRR	90381	120.09	114.19	121.88	63.22	62.39	194.34	99.51	53.39	263.1	104.3
SLC35G5	83650	3	2	8	5	7	13.95	7	2	2	7
MAGEB5	347541	0	0	0	0	0	0	0	0	0	0
NUFIP1	26747	319	220	346	210	233.99	208	266	224	399	147
APOBEC3F	200316	202.48	127.87	216.59	215.36	135.29	241	195.4	101.56	356.49	157.36
JHDM1D	0	805	2272	1108	1189	1894	1388	1646	658	2006	1158
FAM69B	138311	519.78	670.08	651.72	482.82	651.78	971.09	421.03	606.44	1459.13	428.2
AGPAT2	10555	798	987	946	859	830	817	590	724	1422	596
IL8	3576	9	23	16	1	23	20	7	4	4	98
SNX25	83891	462	629	712	523	639	421	665	419	564.88	453
PURG	29942	107	163	264	258	129	355	125	46	199	216
MYH4	4622	1	2	0	2	1	1	0	0	1	0
DNAH2	146754	118	115	55	179	80	49	36	27	146	74
FAM179A	165186	60	39	38	22	40	58	33	24	32	18
PPIE	10450	1122	1771.82	1209.42	1142.98	1061.96	1383	972.53	1033.46	2018.71	1528.42
ONECUT1	3175	0	0	0	0	0	3	1	0	0	0
AC079354.2	0	0	0	0	0	0	0	0	0	0	0
PGBD4	161779	62	22	44	21	17	19	27	33	67	9
CD300A	11314	74	133	43	82	105	56	75.94	29	44	41
GATA4	2626	1	11	38	7	3	15	1	25	4	155
DTHD1	401124	33	4	23	12	8	28	9	4	3	3
CPXM2	119587	775	1936	1422	1256	1361	2382	662	1139	235	3440
ENGASE	64772	2268	5035	5003	5760	2310	5921	1371	1860	10623.03	3946
OR8B2	26595	0	0	0	0	0	0	0	0	0	0
CDC73	79577	1180	1297	1593	1053	929	1463	1113	900.01	1061	1217
HNRNPC	3183	10561.88	16209.36	16250.03	14207.24	8494.12	11288.95	9007.24	5906.7	14208.59	9874.19
PRAMEF4	400735	0	0	0	0	1.72	0	0	1	0	0
CBY3	646019	5	9.53	12	15.5	7	15.32	5.77	6	26	3
ACSF3	197322	1036	1333	983.99	1138.99	1001.93	2094.97	892.99	631	2218.88	1058
DERL3	91319	63	53	21	88	26	38	44	11	285	14
IFI27L2	83982	595	868	660	613	259	806	499	289	1188	544
SGMS1	259230	772	697	1077	775	644	962	986	865	623.17	962.3
C11orf48	79081	449.43	513.15	608.74	476.13	517.55	371.6	474.51	474.15	670.83	222.92
PPP6R1	22870	2474.68	2423.43	2476.97	2726.2	2376.27	2694.65	2754.44	1807.04	3789.18	1844.03
MMP26	56547	0	0	0	0	0	0	0	0	0	0
GPR22	2845	16	2	18	35	23	1	53	0	55	2
CEACAM18	729767	0	0	0	0	1	0	0	1	0	0
TYW5	129450	426	423	565	435.36	276	495	339	283	807	310
NCK1	4690	650	1170	1825	925	788	1005	819	612	1016	871
ST6GALNAC6	30815	3300.95	6287.54	5246.42	4008.05	3221.04	3436.72	3442.8	4091.86	5115.98	3072.04
AARS	16	3847	4821	3086	3764	3125	4165	4551	3500	5493	2754
GBP4	115361	501	571	1184	578	1086.76	1092	422.64	556	818.78	721
USP33	23032	2502	1814	2409	1745	1662	2231	1892	1488	3124	1808
ZNF580	51157	1683.81	1357.16	1264.04	963.73	1130	2121.61	1072.84	1153.41	2518.22	925.14
FAM156A	29057	1389.92	2267.34	2079.07	2242.31	811.51	2749.91	1223.27	1289.78	3464.64	2051.69
MIOX	55586	0	0	0	0	0	3	0	0	0	0
TREX1	11277	475.57	239.87	317.79	434.5	449.69	421.32	309.19	365.32	501.39	238.33
MS4A5	64232	0	0	0	0	0	0	0	0	0	1
GCNT6	0	0	1	0	0	2	1	0	0	1	2
APCDD1L	164284	2	11	11	91	29	181	112	19	7	253
OR4K14	122740	0	0	0	0	0	0	0	0	0	0
DOK6	220164	151	60	190	90	113	203	177	90	31	332
HIST1H4L	8294	0	0	0	0	0	0	0	0	0	0
GRIP1	23426	119	118	109	69	72	98	73	34	176	92
SRRM1	10250	7913.16	20958.74	12224.34	11573.91	5515.96	16944.21	9126.9	3782.97	24768.97	11948.81
TMEM220	388335	365	255	249.85	183	262	267	369	395	682	177
FHOD3	80206	200	93	152	113	74	281	248	331	494	127
GPX1	2876	2290.71	2958.98	1988.96	2266.99	3183	1637	2397.64	3123.77	2234.63	1550.88
USP48	84196	2321	2737	3016	2431	1631	3303	2308	1753	4128	2533
CLP1	10978	356	49	123	256	173	91	264	177	380	57
OR5T2	219464	0	0	0	0	1	0	0	0	0	0
C9orf163	158055	15	9	8	4	6	18	14	1	29	18
NUDT15	55270	461.99	232.06	418.32	300.9	260	287.56	333.54	326.4	379.24	288.32
OXNAD1	92106	201	348	322	209	152	276	216	143	367	157
GRIN1	2902	3	6	3	0	2	4	1	0	14	8
PRKAB1	5564	1110	995	1042	852	1045	1095	942	826.98	1855	784
NPHS1	4868	0	0	0	0	0	0	0	0	1	0
FAM153C	101928349	5.56	17.97	1	4.63	36.82	1	15.39	14.51	31.73	0
MKS1	54903	744	630	700	714	436	952	384	312	1798	701
AC010368.2	0	0	0	0	0	0	0	0	0	0	0
INCA1	388324	54	104	79	122	74	92	70	64	171	51
PPP1R3D	5509	328	186	376	244	292	202	291	325	276	135
RASSF6	166824	20	2	4	1	2	11	0	0	18	3
GPR116	221395	1767	3766.99	5094.84	1999.73	5279.96	3892.89	2010.99	3501.99	1825.93	2696.99
ARPC3	10094	2493	2784.94	2441	2243	2878.35	1955	2621	2777	2206.96	1776
MYO7A	4647	315	136	246	206	207	224	197	204	3047	132
RPP40	10799	135	63	145	83	72	78	88	86	96	65
BCR	613	1886.11	2302.78	2200.26	2172.21	2239.53	1369.18	2109.01	2376.06	3362.76	1515.06
DCTN1	1639	7068.82	7296.91	5834.45	8127.16	6224.28	7713.13	7616.09	7911	9659.4	5583.2
AFAP1L2	84632	1763	2043	2522	3456	3209	3535	3748	1257	1553	3417
H2AFB3	83740	3.5	4	1	2.5	1	5.5	0.5	13	1.5	1
TNS4	84951	8	5	14	4	8	8	4	2	8	6
USP42	84132	1035	719	593	814	608	746	806	365	1232	576
CTB-58E17.5	0	9.62	5.71	21.16	14.02	14.9	6.78	5.57	9.18	16.25	4
NOTUM	147111	0	1	1	0	15	1	1	0	719	0
H2AFX	3014	684	135	258	697	410	397	358	361	718	250
ZNF2	7549	125	102	292	221	131	145	185	123	334	110
TMPRSS3	64699	1	2	2	6	23	2	1	0	47	0
RUVBL2	10856	1622	1554	1026	1330	1101	1295	1469	1288	2265	795
CALCR	799	0	0	0	1	0	2	1	4	1	0
ABRACL	58527	150	102	120	198	386	125	265	230	89	102
GPR137C	283554	38	27	36	75	116	74	94	21	49	51
AXIN1	8312	1291	1683	1576	1778	1077	1811	1350	795.99	2305	1371
KCNQ2	3785	2	3	1	0	0	0	0	0	789	1
SGK2	10110	72	169	177	167	65	283	74	46	535	135
VAV3	10451	71	435	110	418	247	86	77	158	1464	83
UGT2B28	54490	0	0	0	0	0	0	0	3	0	0
ANKHD1	54882	5389.41	7459.15	6650.93	4802.17	4092.14	7175.3	4319.2	2919.66	12105.23	4014.92
PALM2	114299	95.32	174.27	77.56	82.31	98.5	230.45	175.45	140.2	46.99	190.93
ADH1B	125	25142.82	25230.39	38393.32	12168.27	21147.66	21440.16	5943.46	11749.09	12362.18	14134.19
SERF1B	8293	771.61	650.92	864.29	397.37	722.81	1178.51	790.77	701.61	1477.57	625.47
LEPREL4	10609	469	539	676	653	482	479	697	567	1176	287
PLEKHA8	84725	527.01	1371.49	1035.39	1055.59	741.4	1043.59	752.64	341.62	940.76	915.6
IFT122	55764	2087.77	3238.84	2461.68	1553.3	1125.72	3054.84	1323.61	1203.27	5451.86	1875.56
MPP1	4354	993	1174	1089	830	636	1215	813	881	1505	782
PNMA1	9240	2100	1142	1863	3124	1740	1877	3467	3705	2465	1305
ALS2CL	259173	1277	1563	3065	2686	1455	3284	715	872	1554	1908.24
ADCY7	113	353.53	98.31	189.88	273.14	236.8	322.48	302	282.68	252.57	276.89
IFNAR2	3455	481.63	640.6	602.83	760.9	751.52	521.72	550.83	373.98	553.81	412.87
TPM4	7171	31860.96	42589.93	21219.13	11052.8	15688.96	18994.95	26368.94	22272.98	20189.42	20767.99
CNTNAP4	85445	2	0	0	1	1	2	0	1	5	13
PIK3R2	5296	0	5.16	64.93	240.77	0	30.04	0	0	306.07	28.67
SRRD	402055	694.6	637.3	621.52	546.66	468.38	754.72	648.19	560.2	999.35	403.71
PARP4	143	2136	1465	1688	1868.98	2280	2103	2241	1390	3648.89	1376
SLC45A4	57210	594	547	458	995	637	795	537	639	909	599
RPAIN	84268	1164.65	1783.11	1403.07	1613.84	1146.07	2465.95	1241.66	735.12	3175.9	1377.01
NFIB	4781	2828	3405	4028	2607	3033	5234	2483	2552	1939	4613
SOWAHA	134548	9	0	2	5	0	2	3	6	27	11
HAUS3	79441	580.91	526.55	964.82	601.37	460.73	809.89	588.76	385.73	1171.73	502.88
TRMT11	60487	1046	1609	1267	639	606	1339	763	462	1378	840
TMX2-CTNND1	0	1.73	0	0	2.37	1.97	2.37	2.82	6.21	2.43	3.48
ATP13A5	344905	0	0	6	0	0	3	1	1	0	0
CYP2W1	54905	2	1	0	3	1	5	3	2	7	2
TRIM66	9866	662	883	837	711	663	1543	588	737	1662	675
SIGLECL1	284369	0	0	1	0	0	0	0	0	0	0
WDR5B	54554	173.12	268.97	291.19	231.16	174.7	199.62	167.64	148.05	370.97	97.39
METTL7B	196410	11	7	2	10	3	1	6	11	11	0
LDLRAD2	401944	564.34	406.95	316.21	366.88	428.89	663.7	1275.06	1040.6	350.69	358.84
CACNG5	27091	0	0	0	0	0	0	0	0	97	0
IL34	146433	110	153	121	144	50	387	94	65	25	271
SLC39A4	55630	124	172	156	184	181	137	117	125	322	61
HID1	283987	706	1132	2276	1438	1425	1468	669	1019	2429	862
SERPINB9	5272	410	472	609	291	237	505	406	312	1233	632
MYC	4609	2897	2185	2572	1821	3089	948	1702	913	1159	1498
ANKRD20A4	441425	14.91	5.9	0	23.56	30.22	7.99	16.28	2.01	58.18	51.84
CAV3	859	2	0	10	2	1	0	2	4	0	1
MAFG	4097	2104.93	2511.99	1743.9	2522.95	1671.99	2129.82	2149.9	1259	2181.84	2281
ZG16	653808	2	6	2	23	0	1	1	0	1	0
RBMXL2	27288	1	1	2	0	0	5	2	0	4	0
HIVEP3	59269	280	273	278	130	114	185	164	206	398	206
PPIAL4D	645142	0	0	0	0	0	0	0	1.33	0	0
ZNF555	148254	245	228	426	336	225	313.56	314	172	422	155
MS4A3	932	0	6	0	0	0	0	2	0	0	1
RAD54L2	23132	1596	1476	1187.98	1240	1291	1948.97	1486	1079	3028	1109.95
PTK2B	2185	754	595	1198	1248	1280	1477	1118	1604	1277	688
YLPM1	56252	3489.68	3047.71	3155.79	2965.78	2310	3120.26	3286.89	1819.48	6169.37	2122
COMMD7	149951	1024	1220	1576	1465	1301	1943	998	1203	1306	1146
ASPH	444	6332.39	4158.72	5810.01	1742	2809.82	3966.43	4193.46	4206.28	3086	4484.97
UGGT1	56886	1805	1725	1612	1412	1404	1688	1705	1548	2028	1051
EPHA6	285220	49	24	8	8	6	29	18	24	23	130
TERT	7015	0	1	0	0	0	0	0	0	0	0
CLEC11A	6320	504	713	602	983	485	1018	1644	432	1064	1053
EP400NL	347918	478.41	705.24	536.85	436.81	496.36	621.7	367.99	220.75	712.51	378.9
UBASH3B	84959	101	57	30	92	34	43	67	49	44	30
PNRC2	55629	4125	4840	4968	3186	3578.99	3726	2853	1735	3555	3619
MYO6	4646	1043	863	1040	776	1378	1251	1081	1025	1671	968
AURKC	6795	23	26	21	13	17	23	23	29	29	29
FZD9	8326	7	5	13	11	17	11	7	5	17	5
RAD51L3-RFFL	0	7.25	0	0	0	0	0	3.73	0	2.58	0
ZNF678	339500	359	418	619	358	251	784	417	133	523	521
UBP1	7342	3212	3278	3908	3100	2685	3931	3447	2646	4937	2634
ZNF142	7701	1213	1115	949	1124	952.9	1322.86	1107	922	2186.64	792.66
PRB2	653247	1	0	0	0	4.75	0	3	5	0	1
SSTR5	6755	3	1	0	0	2	1	0	3	5	2
RP1-32I10.10	0	2	2	3	4	0	8	3	2	10	5
HSF4	3299	1062.09	1400.67	1043.58	1740.38	850.18	2007.28	935.26	787.66	1356.08	1775.32
PI4KA	5297	5749.4	8703.69	5528.56	6570.21	4213.48	6620.19	4961.81	4457.94	11438.85	4866.94
GSG1L	146395	12	5	1	4	3	2	11	6	13	4
INPP5A	3632	3532	2822	2602	2166	2052	2150.79	3329	3972	3711.63	1525
ICOSLG	23308	326	130	171	389	375	428	290	152	211	285
CTA-299D3.8	0	9	3	6	29	2	15	3	0	51	5
NR3C2	4306	601	495	1138	447	548	882	264	389	1133	519
PLA2G16	11145	957	783	896	716	744	714	323	917	826	354
NTSR1	4923	0	1	3	1	2	1	0	2	1	0
MMP27	64066	1	0	1	1	1	0	0	1	0	2
RNF34	80196	737.76	837.56	972.45	950.68	609.09	1088.12	745.56	580.3	1031.25	609.03
IGDCC4	57722	280	253	486	381	38	249	484	24	573	216
CDK5	1020	144	48	91	166	151.96	105	204	189	177.92	79
AC009892.10	0	0	0	0	0	0	0	0	0	0	0
ZNF587B	100293516	254.01	81.33	80.13	76.73	116.6	97.65	140.12	223.92	281	60.88
TM9SF2	9375	3845	2850	4068	3304	3249	2829	3416	2985	5146	2806
IPO4	79711	1196.87	1492.54	815.66	932.28	846.38	708.98	1093.59	739.53	1364.35	420.57
ZNF80	7634	6.98	5.98	11.41	16	3	37.88	3	0	4	10
TMCC3	57458	415	1187	1410	576	1521	1466	509	411	1009	1069
CNIH3	149111	79	94	112	70	50	130	59	45	207	74
TRAPPC12	51112	1831	1685	1351	1623	1251	2716	1420	1212	3529	1511.46
CCDC67	159989	1	0	2	0	2	3	1	3	3	1
MAB21L1	4081	21	11	12	5	5	23	18	25	12	19
TNNI3K	51086	46.93	32.2	41.99	46.94	34.9	107.94	40.95	25.56	130.01	76.84
SERAC1	84947	255	220	418	444	376	281	532	454	328	245
CRYZL1	9946	1229	1473	1297	1021	928	1979	1138	879	2262	1294
BRINP1	1620	3	2	1	0	8	1	5	15	5	1
AC079612.1	0	0	0	0	0	0	0	0	0	1	0
OR1C1	26188	0	0	3	0	0	2	0	0	0	1
BFSP1	631	120	41	82	102	73	173	112	55	220	78
SIX5	147912	1929.45	2512.37	2629.11	3420.47	1410.13	2452.21	1396.54	1288.37	4378.3	2050.23
MAGEA12	4111	0	0	0	0	0	0	1	1	3	0
RP11-347C12.1	0	80.56	240.41	118.85	196.81	62.3	273.28	104.23	41.1	270.97	155.24
BCL7B	9275	1443	879	982	1090	1110	1107	1463	1649	1142	853
KLHL5	51088	570	794.95	990	596.93	1031	713.92	1204.55	1044.95	640	708
PRLHR	2834	20	60	10	202	297	80	83	7	0	13
ZDHHC18	84243	957	1230	1421	2167	958	1442	1064	750	1947	1386
RP11-404L6.2	0	0	0	0	0	0	0	0	0	0	0
GHRHR	2692	0	4	3	0	1	4	0	0	8	0
RP11-386G21.1	0	0	0	0	0	0	0	0	0	0	0
LA16c-431H6.6	0	9.37	0	7.64	0	14.2	2.18	7.89	0	20.96	0
NUDT17	200035	68.23	85.29	125.98	139.67	49.94	140.17	50.83	74.22	159.99	91.49
CYP2C18	1562	0	1	1	0	0	4	1	2	0	0
DGCR6	8214	209.61	76.11	251.93	74.13	103.55	150.96	44.68	118.32	371.91	111.89
HNRNPCL1	343069	1	0	1	0	0	0	0	0	0	0
IDH3G	3421	1871.63	2059	1528.9	1442.94	1134.77	1780.41	1561.93	1317	3126.32	1195.94
CHIA	27159	0	1	0	1	4	0	0	2	2	0
