Hugo_Symbol	Entrez_Gene_Id	GTEX-ZLWG-1026-SM-4WWC4	GTEX-13OVJ-2326-SM-5IJGA	GTEX-14BIM-2226-SM-5SI8Y	GTEX-Q734-1626-SM-48U1B	GTEX-S7SF-0826-SM-4AD4W	GTEX-12WSD-2826-SM-59HKT	GTEX-145ME-1326-SM-5O98Q	GTEX-S341-1026-SM-4AD71	GTEX-P4PP-2026-SM-3P61N	GTEX-113JC-2226-SM-5EGJG
PORCN	64840	399	526	390	390	405	440	482	368	924	340
THEMIS2	9473	397	372	178	232	376	346	243	251	74	197
LY6D	8581	6	2	2	6	6	13	8	7	4	11
UFL1	23376	1512	2171	1516	943	958	1637	1122	972	2427	1092
RP13-279N23.2	0	0	0	0	0	3.27	1.5	0	0	0	0
STAP1	26228	3	2	5	1	3	3	17	0	2	6
TEX28P1	1527	0	0	0	0	1.85	0	0	0	0	0
EHD1	10938	2076	1178	1573	2112	1916	1663	3569	3511	1549	1442
ZNF653	115950	326	259	280	291	238.97	418	233	159	564	218
DDC	1644	4	1	1	1	0	1	1	1	1	4
IREB2	3658	2327	3113	2026	2079	1454	2693	1874	1364	3953	1656
TBC1D10A	83874	1031.49	1334.7	1307.18	1044.2	992.03	1365.47	1111.86	889.95	718.09	1124.7
RAF1	5894	5349	6429.79	5485	4851	3411.75	5807.77	5246.53	3686	7969	4302
AQP6	363	3	0	1	1	1	1	0	1	27.17	6
IFNA6	3443	0	0	1	0	2	0	0	2	0	0
KRTAP4-16P	0	0	0	0	0	0	0	0	0	0	0
TOMM7	54543	3120	6729	7405	4985	3059	4648	3329	2869	6090	4624
PDE4C	5143	144	65	373	697.98	631	704.85	48	113	4665.47	550.99
DCT	1638	39	34	31	75	69	77	35	12	48	120
CCDC179	100500938	1	0	2	0	0	2	0	0	0	0
B3GNT6	192134	1	0	0	0	1	0	0	0	0	0
QSER1	79832	1563	1823	1794	1238	1104	1752	1283	713	2523	1369
CORO1C	23603	9411	8828	5088	7989	7524	8727	13562	10244	9288	5972
SLC13A1	6561	0	1	0	0	1	0	0	0	0	0
PIAS3	10401	3946.77	4769.71	4551.02	3877.33	2120.04	4313.83	2831.17	2051.78	6502.01	2765.51
AC005609.1	0	21	6.87	8.49	22.02	6	31.68	13	6	20.78	18
TMEM231	79583	782.96	1456.81	895.93	720.8	577.98	951.52	764.91	546	1576.8	793.15
C1orf134	0	0	2	1	4	1	1	3	0	8	2
PRSS54	221191	0	1.95	0	0	0	0	0	0	0	0
FAM122A	116224	978	648	1179	906	776	910	917	701	1104	756
LDLRAD3	143458	714	1078	961	407	957	511	633	548	807.94	576
SERPINA1	5265	152	166	157	179	420	76	238	149	128	124
HES5	388585	14	1	17	9	7	9	4	6	0	6
AVL9	23080	1404.85	1790.95	1496.5	1318.5	1073.32	1828.2	1209.83	819.28	2002.73	985.53
SLC9A8	23315	1095	1069	742	510	805	1327	605	759	2190	627
SRCRB4D	136853	32.77	8.05	5	10	8	12	9	23	28.14	4
USP17L19	100287404	0	0	0	0	0	0	0	0	0	0
DDX11	1663	1514.79	2221.17	2418.32	532.29	205	4339.04	1133.04	158.85	3465.46	1736.51
ADAMTSL2	9719	412	108	129	141	598	261	262	441	67	329
CHERP	10523	2469.1	2485.49	1866.93	2909.47	1614.34	2524.17	1881.52	1273.2	4828.61	1840.75
CGNL1	84952	2746	3474.96	3252	2359.99	1898	3462	3621.97	1203	3727	2206
MAK16	84549	731.91	721.76	628.81	405.06	487.03	554.22	501.92	404.74	772.39	405.23
FKRP	79147	960	1136	747	725	955	1083	717	576	1462	691
SLC35G6	643664	0	1	2	5	0	3	2	2	7	0
HMGB2	3148	2432	6836	3980	2207	1385	2628	1323	849	3430	2131
CCL25	6370	0	0	1	0	0	0	0	1	1	0
PATE1	160065	0	0	0	0	0	0	0	0	1	0
RP11-195F19.5	0	104.87	153.09	128.72	91.75	50.35	137.69	67.04	65.3	239.82	77.9
C6orf106	64771	3404.47	3210.94	3386.92	3196.63	2421.82	2597.95	3242	3303.27	3865	2590.98
PHTF1	10745	316	287	363	291	400	369	522	348	394	258
TFF2	7032	0	1	1	6	3	3	1	3	7	0
DHRS4L2	10901	376.01	459.75	491.4	548.22	268.6	613.35	430	356.27	545.35	453.76
POLR3A	11128	948	1148	1102	888	654	1384	898	633	1748	649
KRT33A	3883	0	0	0	0	1	0	0	0	0	0
VRTN	55237	0	0	0	6	0	0	0	0	0	0
THBS3	7059	3843.9	5444.74	2814.37	3285.61	3284.36	7100.26	4440.87	3507.13	4565.03	3461.89
TUT1	64852	882.18	1280.3	866.93	836.8	738.07	957.53	583.1	556.79	2444.37	573.08
HSPA5	3309	11057.99	20212.97	11062.99	9092	4896	5023.92	10722.95	8482	9122.96	6503
CLMP	79827	1541	1564	1240	1091	1167	1102	1796	2564	1373	830
TAZ	6901	1530	3184	2865	2471.57	1505	2717	1168	1161	3576	1710
ARPC4	10093	2935.21	3502.38	2538.52	2754.93	2686.61	3007.66	2894.1	2725.27	3035.17	2144.62
FRMD5	84978	11	2	21	6	4	14	2	0	25	19
CTC-398G3.6	0	0	0	0	0	2.03	0	0	0	0	0
PLSCR2	57047	0	0	0	1	1	3	1	1	0	0
HIATL2	0	78.62	105.15	134.42	86.98	62.9	130.14	73.21	44.34	136.01	93.58
PPAN-P2RY11	692312	0	0	0	0	0	0	39.45	0	85.13	0
TYK2	7297	3122	3719	3409	3251	2292	4515	2553	1984	6916.93	2954
CDKL1	8814	406	685	424	829.82	394	580.92	518.84	305	719.87	357
ACTG1	60	82621	110664	76227	68086.82	56423.28	54013	62020	45993	120288.95	51849
KLF6	1316	9838	8441	9185	3423	6435	7028	4805	3874	3505	11216
EBLN1	340900	4	2	0	1	0	0	1	0	1	0
ORMDL3	94103	1471	1364	1379	1686	1222	1779	2086	1320	2848	1418
ZDHHC6	64429	1240	1396	1471	989	899	1834	1069	667	2795	1091
MRPL12	6182	734	704	504	485.36	504.2	457	558	715	700	262
C1GALT1C1	29071	370	224	322	336	327	342	441	368	504	227
EIF2B1	1967	2082.84	2418.14	2110.4	2021.91	1503.74	2461.39	1607.5	1565.18	3336.85	1526.23
CDK7	1022	397	444	495	343	362	437	406	267	532	246
GYG1	2992	2671	2563	2229	3153	2768	2276	3384	3131	1690	1963
RP11-219A15.1	0	15.93	0	4.02	17.68	0	0	0	5.5	47.59	0
GAGE12J	2576	0	0	0	0	0	0	0	0	0	0
HPSE	10855	124	95	139	1091	367	37	208	65	914	74
WRAP73	49856	799	1074	956	1087	793	1316	730	599	1837	873
GUCY1A2	2977	2720	3260	2605	1701	2838	1208	8365	2544	858	1687
PLVAP	83483	2714	12898	8766	3005	6485	6599	2773	7256.17	665	5529
WBP2	23558	4284	11735	6548	6800	4239	7576	3704	3485	10475	5455
MT1HL1	645745	0	0	0	0	0	0	0	0	0	0
KIAA1217	56243	693	884	874	362	787	1034	375	451	1920	740
SYS1	90196	1218.84	1365.05	1621.55	1478.21	1014.42	1274.51	1046.72	878.57	2150.39	1131.75
C1orf228	339541	281	97	117	103	74	170	249	32	140	71
H2AFB1	474382	0	0	1	0	0	0	0	0	0	0
TNFRSF17	608	3	3	2	2	1	4	2	1	5	3
NAIF1	203245	274	193	282	448	189	260	194	220	683	154
CCDC173	129881	24	19	7	4	7	16	12	13	45	13
SECTM1	6398	734	1769	786	666	418	600	260	138	1026	546
DEK	7913	3921	5350	5358	3203	3350	4517	3439	2588	4097	4431
LZTS3	0	616	818	852	1202	974	1131	794	303	1942	1093
ARSH	347527	0	0	0	0	0	0	0	0	0	0
IGSF21	84966	76	44	37	38	62	28	121	30	16	20
GATA1	2623	2	12	5	5	7	8	13	2	2	4
EHMT2	10919	2728	3773	3914	4492	2327	4225	3204	2844	6555	2695
C6orf100	0	0	0	1	0	4	1	0	0	2	0
ESRRB	2103	2	4	1	4	1	8	1	0	1	3
RP11-169F17.1	0	0	0	0	4	2	1	1	0	0	0
STIP1	10963	2845	2586	4896	10260	2435	2212	3125	2068	4268	2083
NEDD8-MDP1	100528064	12.82	2.26	5.21	12.4	5.68	0	5.04	5.89	0	5.94
VSNL1	7447	29	11	23	12	6	5	20	5	161	19
GLO1	2739	2959	2304	3215	1547	1723	1852	1874	2220	2669	1837
CATSPER1	117144	3	4	5	2	3	3	9	2	1	1
SLC35A5	55032	1123	707	1124	1036	1078	1031	881	823	1246	854
